ID,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker,Creditability
455,4,36,3,3,4454,1,3,4,2,1,4,1,34,3,2,2,3,1,1,1,1
456,1,24,1,2,3552,1,4,3,3,1,4,3,27,1,2,1,3,1,1,1,0
457,1,12,2,3,1107,1,3,2,3,1,2,1,20,3,1,1,4,2,2,1,1
458,4,48,4,9,7629,5,5,4,1,1,2,3,46,1,2,2,4,2,1,1,1
459,2,11,3,3,4771,1,4,2,3,1,4,2,51,3,2,1,3,1,1,1,1
460,2,30,3,9,2503,2,5,4,3,1,2,2,41,2,2,2,3,1,1,1,1
461,1,24,1,2,2828,3,3,4,3,1,4,1,22,2,2,1,3,1,2,1,1
462,1,18,3,6,8471,5,3,1,2,1,2,3,23,3,1,2,3,1,2,1,1
463,3,12,2,3,3016,1,3,3,4,1,1,3,24,3,2,1,3,1,1,1,1
464,4,30,3,9,4272,2,3,2,3,1,2,2,26,3,2,2,2,1,1,1,1
465,2,9,2,3,1206,1,5,4,2,1,4,1,25,3,2,1,3,1,1,1,1
466,2,9,2,9,1391,1,3,2,4,1,1,1,27,1,2,1,3,1,2,1,1
467,2,18,2,0,5866,2,3,2,3,1,2,3,30,3,2,2,3,1,2,1,1
468,4,12,4,2,3331,1,5,2,3,1,4,2,42,2,2,1,3,1,1,1,1
469,4,30,2,1,4811,5,4,2,2,1,4,2,24,2,1,1,2,1,1,1,1
470,2,12,2,5,639,1,3,4,3,1,2,3,30,3,2,1,3,1,1,1,0
471,4,21,2,3,3160,5,5,4,3,1,3,2,41,3,2,1,3,1,2,1,1
472,2,60,2,6,6288,1,3,4,3,1,4,4,42,3,3,1,3,1,1,1,0
473,1,24,1,2,2483,3,3,4,3,1,4,1,22,2,2,1,3,1,2,1,1
474,4,10,2,8,894,5,4,4,2,1,3,2,40,3,2,1,3,1,2,1,1
475,3,18,1,3,1445,5,4,4,3,1,4,3,49,1,2,1,2,1,1,1,1
476,3,30,4,3,3017,1,5,4,3,1,4,2,47,3,2,1,3,1,1,1,1
477,4,36,2,0,3079,5,3,4,3,1,4,1,36,3,2,1,3,1,1,1,1
478,4,12,4,3,976,5,5,4,3,1,4,3,35,3,2,2,3,1,1,1,1
479,4,7,4,3,730,5,5,4,3,1,2,2,46,3,1,2,2,1,2,1,1
480,4,39,2,1,8588,2,5,4,3,1,2,3,45,3,2,1,4,1,2,1,1
481,4,12,4,9,1412,1,3,4,2,3,2,1,29,3,2,2,4,1,2,1,1
482,4,48,3,3,12749,3,4,4,3,1,1,3,37,3,2,1,4,1,2,1,1
483,1,30,2,5,11998,1,2,1,1,1,1,4,34,1,2,1,2,1,2,1,0
484,1,12,2,3,1680,3,5,3,4,1,1,1,35,3,2,1,3,1,1,1,1
485,1,24,2,2,4020,1,3,2,3,1,2,3,27,2,2,1,3,1,1,1,1
486,2,24,2,10,11328,1,3,2,3,2,3,3,29,1,2,2,4,1,2,1,0
487,4,24,4,2,2028,1,4,2,3,1,2,2,30,3,2,2,2,1,1,1,1
488,4,36,2,3,2299,3,5,4,3,1,4,3,39,3,2,1,3,1,1,1,1
489,3,10,4,0,781,1,5,4,3,1,4,4,63,3,3,2,3,1,2,1,1
490,4,12,2,0,3527,5,2,2,3,1,3,2,45,3,2,1,4,2,2,1,1
491,2,6,2,3,368,5,5,4,3,1,4,2,38,3,2,1,3,1,1,1,1
492,2,48,1,0,12169,5,1,4,3,2,4,4,36,3,3,1,4,1,2,1,1
493,2,18,2,9,2622,2,3,4,3,1,4,3,34,3,2,1,3,1,1,1,1
494,1,21,4,0,1602,1,5,4,4,1,3,3,30,3,2,2,3,1,2,1,1
495,4,24,4,3,2424,5,5,4,3,1,4,2,53,3,2,2,3,1,1,1,1
496,2,15,4,3,1537,5,5,4,3,3,4,1,50,3,2,2,3,1,2,1,1
497,4,12,1,8,3447,3,3,4,2,1,3,1,35,3,2,1,2,2,1,1,1
498,4,15,2,4,1262,3,4,4,3,1,3,2,36,3,2,2,3,1,2,1,1
499,1,12,2,8,902,1,4,4,4,1,4,2,21,3,1,1,3,1,1,1,0
500,1,18,2,2,4153,1,3,2,3,2,3,3,42,3,2,1,3,1,1,1,0
501,4,24,2,2,929,5,4,4,3,1,2,3,31,2,2,1,3,1,2,1,1
502,2,10,2,0,7308,1,1,2,3,1,4,4,70,1,3,1,4,1,2,1,1
503,2,30,0,9,4280,2,3,4,2,1,4,3,26,3,1,2,2,1,1,1,0
504,2,24,2,3,2896,2,2,2,3,1,1,3,29,3,2,1,3,1,1,1,1
505,4,18,1,0,6458,1,5,2,3,1,4,4,39,1,2,2,4,2,2,1,0
506,4,24,4,1,4042,5,4,3,3,1,4,2,43,3,2,2,3,1,2,1,1
507,2,18,4,2,6361,1,5,2,3,1,1,4,41,3,2,1,3,1,2,1,1
508,4,6,2,0,3518,1,3,2,3,3,3,2,26,3,1,1,3,1,1,1,1
509,2,36,3,0,8086,2,5,2,3,1,4,3,42,2,2,4,4,1,2,1,0
510,4,48,4,1,2751,5,5,4,3,1,3,3,38,3,2,2,3,2,2,1,1
511,2,12,2,2,2762,5,5,1,2,1,2,2,25,3,2,1,3,1,2,1,0
512,1,6,2,0,1203,2,5,3,3,1,2,2,43,3,2,1,3,1,2,1,1
513,1,36,2,1,8229,1,3,2,3,1,2,2,26,3,2,1,3,2,1,1,0
514,2,20,0,1,6148,2,5,3,4,1,4,3,31,1,2,2,3,1,2,1,1
515,3,36,2,3,4210,1,3,4,3,1,2,3,26,3,2,1,3,1,1,1,0
516,1,24,2,0,1207,1,2,4,2,1,4,2,24,3,1,1,3,1,1,1,0
517,4,10,4,2,2069,5,3,2,4,1,1,3,26,3,2,2,3,1,1,2,1
518,1,27,0,9,5293,1,1,2,3,1,4,2,50,3,2,2,3,1,2,1,0
519,1,42,3,3,4370,1,4,3,3,1,2,2,26,1,2,2,3,2,2,1,0
520,4,12,4,3,1934,1,5,2,3,1,2,4,26,3,2,2,3,1,1,1,1
521,1,24,2,2,4169,1,3,4,3,1,4,2,28,3,2,1,3,1,1,1,1
522,1,18,4,0,3966,1,5,1,2,1,4,1,33,1,1,3,3,1,2,1,0
523,2,30,2,3,2991,5,5,2,2,1,4,3,25,3,2,1,3,1,1,1,1
524,1,27,2,3,3416,1,3,3,3,1,2,3,27,3,2,1,4,1,1,1,1
525,4,36,2,9,5742,2,4,2,3,1,2,3,31,3,2,2,3,1,2,1,1
526,2,8,2,3,1414,1,3,4,3,3,2,1,33,3,2,1,3,1,1,2,1
527,4,48,4,1,11590,2,3,2,2,1,4,3,24,3,1,2,2,1,1,1,0
528,1,24,2,10,1755,1,5,4,2,3,4,1,58,3,2,1,2,1,2,1,1
529,4,12,2,3,3077,1,3,2,3,1,4,3,52,3,2,1,3,1,2,1,1
530,1,24,3,3,1024,1,2,4,4,1,4,1,48,2,2,1,3,1,1,1,0
531,1,12,2,2,1282,1,3,2,2,1,4,3,20,3,1,1,3,1,1,1,0
532,4,18,4,1,3229,5,1,2,3,1,4,4,38,3,2,1,4,1,2,1,1
533,1,12,2,1,3386,1,5,3,3,1,4,4,35,3,3,1,3,1,2,1,0
534,2,24,4,9,2825,5,4,4,3,1,3,4,34,3,2,2,3,2,2,1,1
535,4,15,2,2,2186,5,4,1,2,1,4,1,33,1,1,1,2,1,1,1,1
536,1,30,2,1,3857,1,3,4,1,1,4,2,40,3,2,1,4,1,2,1,1
537,1,6,2,2,428,1,5,2,2,1,1,2,49,1,2,1,3,1,2,1,1
538,2,24,2,0,1246,1,2,4,3,1,2,1,23,1,2,1,2,1,1,1,0
539,4,6,0,3,426,1,5,4,4,1,4,3,39,3,2,1,2,1,1,1,1
540,1,12,0,5,1108,1,4,4,3,1,3,1,28,3,2,2,3,1,1,1,0
541,4,6,2,2,4611,1,2,1,2,1,4,2,32,3,2,1,3,1,1,1,0
542,2,6,3,9,1449,2,5,1,1,1,2,3,31,1,2,2,3,2,1,1,1
543,1,21,2,3,2606,1,2,4,2,1,4,2,28,3,1,1,4,1,2,1,1
544,1,24,2,3,1823,1,1,4,3,1,2,3,30,2,2,1,4,2,1,1,0
545,2,27,2,9,3915,1,3,4,3,1,2,3,36,3,2,1,3,2,2,1,0
546,4,48,4,0,10127,3,3,2,3,1,2,4,44,3,3,1,3,1,1,1,0
547,2,24,4,6,5743,1,2,2,2,1,4,4,24,3,3,2,3,1,2,1,1
548,4,18,2,9,1568,2,3,3,2,1,4,2,24,3,1,1,2,1,1,1,1
549,4,24,3,0,2538,1,5,4,3,1,4,3,47,3,2,2,2,2,1,1,0
550,4,14,3,0,802,1,3,4,3,1,2,3,27,3,2,2,2,1,1,1,1
551,2,10,2,2,1521,1,3,4,1,1,2,3,31,3,2,1,2,1,1,1,1
552,4,24,4,3,2611,1,5,4,4,2,3,1,46,3,2,2,3,1,1,1,1
553,4,24,4,3,1851,1,4,4,4,3,2,3,33,3,2,2,3,1,2,1,1
554,1,10,4,2,2132,5,2,2,2,2,3,1,27,3,1,2,3,1,1,2,1
555,2,24,4,1,7758,4,5,2,2,1,4,4,29,3,1,1,3,1,1,1,1
556,4,6,4,3,1740,1,5,2,4,1,2,1,30,3,1,2,3,1,1,1,1
557,4,36,4,1,11054,5,3,4,3,1,2,3,30,3,2,1,4,1,2,1,1
558,4,24,4,3,2684,1,3,4,3,1,2,1,35,3,2,2,2,1,1,1,1
559,1,9,2,0,1422,1,2,3,3,1,2,4,27,3,3,1,4,1,2,1,0
560,1,12,2,2,1289,1,3,4,3,3,1,2,21,3,2,1,2,1,1,1,1
561,1,42,2,2,7882,1,4,2,3,3,4,2,45,3,3,1,3,2,1,1,1
562,4,12,2,0,1386,3,3,2,2,1,2,2,26,3,2,1,3,1,1,1,0
563,3,6,2,2,2116,1,3,2,3,1,2,1,41,3,2,1,3,1,2,1,1
564,1,24,2,3,3660,1,3,2,2,1,4,3,28,3,2,1,3,1,1,1,1
565,4,15,4,2,1520,5,5,4,3,1,4,2,63,3,2,1,3,1,1,1,1
566,1,36,2,2,5179,1,4,4,3,1,2,2,29,3,2,1,3,1,1,1,0
567,3,6,4,0,1343,1,5,1,3,1,4,1,46,3,2,2,3,2,1,2,1
568,1,12,2,2,1262,5,5,2,1,1,4,2,49,3,2,1,2,1,2,1,1
569,4,15,4,2,2788,1,4,2,2,2,3,3,24,1,2,2,3,1,1,1,1
570,1,12,2,2,2577,1,3,2,1,1,1,3,42,3,2,1,3,1,1,1,1
571,1,12,4,0,691,1,5,4,3,1,3,2,35,3,2,2,3,1,1,1,0
572,2,24,2,2,3069,2,5,4,3,1,4,4,30,3,3,1,3,1,1,1,1
573,2,36,3,9,9857,2,4,1,3,1,3,2,31,3,2,2,2,2,2,1,1
574,2,18,2,3,866,1,3,4,4,3,2,1,25,3,2,1,2,1,1,1,1
575,4,27,2,0,2570,1,3,3,2,1,3,1,21,3,1,1,3,1,1,1,0
576,1,9,2,3,1364,1,4,3,3,1,4,1,59,3,2,1,3,1,1,1,1
577,1,18,2,3,2600,1,3,4,3,1,4,4,65,3,3,2,3,1,1,1,0
578,4,21,4,0,12680,5,5,4,3,1,4,4,30,3,3,1,4,1,2,1,0
579,1,12,2,0,1168,1,3,4,4,1,3,1,27,3,2,1,2,1,1,1,1
580,3,15,4,1,2360,3,3,2,3,1,2,3,36,3,2,1,3,1,2,1,1
581,3,12,2,3,3399,5,5,2,3,1,3,3,37,3,2,1,4,1,1,1,1
582,4,15,2,2,2221,3,3,2,2,1,4,3,20,3,1,1,3,1,1,1,1
583,1,18,1,0,1442,1,4,4,3,1,4,4,32,1,3,2,2,2,1,1,0
584,4,30,4,3,5771,1,4,4,2,1,2,3,25,3,2,2,3,1,1,1,1
585,1,15,4,2,975,1,3,2,1,1,3,2,25,3,2,2,3,1,1,1,1
586,2,15,0,0,1778,1,2,2,2,1,1,1,26,3,1,2,1,1,1,1,0
587,4,12,4,0,926,1,1,1,2,1,2,2,38,3,2,1,1,1,1,1,1
588,4,18,4,0,1028,1,3,4,2,1,3,1,36,3,2,2,3,1,1,1,1
589,1,24,3,0,1333,1,1,4,3,1,2,1,43,3,3,2,3,2,1,1,0
590,1,14,2,0,8978,1,5,1,1,1,4,2,45,3,2,1,4,1,2,2,0
591,2,12,2,3,1331,1,2,2,3,1,1,3,22,3,2,1,3,1,1,1,0
592,2,21,2,2,3976,5,4,2,3,1,3,3,35,3,2,1,3,1,2,1,1
593,4,36,4,0,3535,1,4,4,3,1,4,3,37,3,2,2,3,1,2,1,1
594,2,24,2,2,4057,1,4,3,1,1,3,3,43,3,2,1,3,1,2,1,0
595,1,15,2,2,1845,1,2,4,2,3,1,2,46,3,1,1,3,1,1,1,1
596,4,24,2,3,1413,1,3,4,4,1,2,2,28,3,2,1,3,1,1,1,1
597,1,36,4,6,8065,1,3,3,2,1,2,4,25,3,2,2,4,1,2,1,0
598,1,8,4,0,713,1,5,4,3,1,4,1,47,3,2,2,2,1,1,1,1
599,1,24,2,3,1603,1,5,4,2,1,4,3,55,3,2,1,3,1,1,1,1
600,1,24,2,2,3234,1,2,4,2,1,4,1,23,3,1,1,2,1,2,1,0
601,4,18,4,3,1582,4,5,4,3,1,4,3,46,3,2,2,3,1,1,1,1
602,4,15,2,1,3812,2,2,1,2,1,4,3,23,3,2,1,3,1,2,1,1
603,4,15,1,3,1569,2,5,4,3,1,4,3,34,1,2,1,2,2,1,1,1
604,1,24,4,9,1382,2,4,4,3,1,1,1,26,3,2,2,3,1,2,1,1
605,3,15,2,9,2687,1,4,2,3,1,4,2,26,3,1,1,3,1,2,1,1
606,3,24,4,9,1275,4,3,2,1,1,4,1,36,3,2,2,3,1,2,1,1
607,4,12,2,2,1736,1,4,3,2,1,4,1,31,3,2,1,2,1,1,1,1
608,1,60,2,9,7297,1,5,4,3,2,4,4,36,3,1,1,3,1,1,1,0
609,4,9,4,0,2134,1,3,4,3,1,4,3,48,3,2,3,3,1,2,1,1
610,1,36,2,0,3249,1,4,2,3,1,4,4,39,1,3,1,4,2,2,1,1
611,2,8,2,2,1237,1,3,3,2,1,4,1,24,3,2,1,3,1,1,1,0
612,4,9,2,4,1236,1,2,1,2,1,4,1,23,3,1,1,3,1,2,1,1
613,1,15,2,3,1053,1,2,4,4,1,2,1,27,3,2,1,3,1,1,2,1
614,4,12,2,1,1413,4,4,3,3,1,2,2,55,3,2,1,3,1,1,2,1
615,4,12,2,3,886,5,3,4,2,1,2,3,21,3,2,1,3,1,1,1,1
616,4,6,2,3,1346,2,5,2,3,1,4,4,42,1,3,1,3,2,2,1,1
617,4,10,2,2,2210,1,3,2,3,1,2,1,25,3,1,1,2,1,1,1,0
618,4,12,2,3,2073,2,3,4,2,2,2,1,28,3,2,1,3,1,1,1,1
619,2,36,3,0,2225,1,5,4,3,1,4,4,57,1,3,2,3,1,2,1,0
620,2,11,2,2,1577,4,2,4,2,1,1,1,20,3,2,1,3,1,1,1,1
621,1,36,2,2,3959,1,1,4,3,1,3,2,30,3,2,1,4,1,2,1,1
622,3,15,4,3,1271,5,3,3,3,1,4,4,39,3,3,2,3,1,2,1,0
623,2,12,2,3,625,1,2,4,4,3,1,1,26,1,2,1,2,1,1,1,1
624,4,60,4,0,13756,5,5,2,3,1,4,4,63,1,3,1,4,1,2,1,1
625,4,18,4,0,1055,1,2,4,2,1,1,2,30,3,2,2,3,1,1,1,1
626,4,36,3,1,8947,5,4,3,3,1,2,3,31,2,2,1,4,2,2,1,1
627,2,6,3,0,1209,1,1,4,3,1,4,2,47,3,2,1,4,1,2,1,0
628,4,24,2,3,1552,1,4,3,3,1,1,3,32,1,2,1,3,2,1,1,1
629,1,24,3,0,4870,1,3,3,3,1,4,4,53,3,3,2,3,2,1,1,0
630,2,60,2,0,14027,1,4,4,3,1,2,4,27,3,2,1,4,1,2,1,0
631,3,30,3,9,1908,1,5,4,3,1,4,1,66,3,2,1,4,1,2,1,0
632,2,7,2,3,2576,1,3,2,3,3,2,1,35,3,2,1,3,1,1,2,1
633,2,6,1,6,433,4,2,4,2,1,2,2,24,1,1,1,3,2,1,1,0
634,4,18,2,0,6761,5,3,2,3,1,4,3,68,2,1,2,3,1,1,1,0
635,2,24,2,0,3512,2,4,2,3,1,3,3,38,1,2,2,3,1,2,1,1
636,4,24,3,9,2978,5,3,4,3,1,4,1,32,3,2,2,3,2,2,1,1
637,2,36,2,3,2323,1,4,4,3,1,4,3,24,3,1,1,3,1,1,1,1
638,1,30,2,2,6350,5,5,4,3,1,4,2,31,3,2,1,3,1,1,1,0
639,2,6,4,8,932,5,4,1,2,1,3,2,39,3,2,2,2,1,1,1,1
640,4,12,2,0,2859,5,1,4,3,1,4,4,38,3,2,1,4,1,2,1,1
641,2,12,2,0,685,1,4,2,4,1,3,3,25,1,2,1,2,1,1,1,0
642,2,18,2,9,1913,4,2,3,4,1,3,1,36,1,2,1,3,1,2,1,1
643,1,21,2,3,1835,1,3,3,2,1,2,1,25,3,2,2,3,1,2,1,0
644,1,6,2,0,1374,5,1,4,2,1,3,2,75,3,2,1,4,1,2,1,1
645,1,18,2,3,1882,1,3,4,2,1,4,3,25,1,1,2,3,1,1,1,0
646,4,24,2,3,2284,1,4,4,3,1,2,3,28,3,2,1,3,1,2,1,1
647,3,6,3,3,683,1,2,2,2,1,1,2,29,1,2,1,3,1,1,1,1
648,4,10,2,0,1287,5,5,4,3,2,2,2,45,3,2,1,2,1,1,2,1
649,1,15,2,0,2511,1,1,1,2,1,4,3,23,3,1,1,3,1,1,1,1
650,4,6,4,3,1237,2,3,1,2,1,1,2,27,3,2,2,3,1,1,1,1
651,4,24,2,0,2255,5,2,4,3,1,1,2,54,3,2,1,3,1,1,1,1
652,4,24,4,5,5507,1,5,3,3,1,4,4,44,3,3,2,3,1,1,1,1
653,4,24,2,0,1393,1,3,2,3,3,2,1,31,3,2,1,3,1,2,1,1
654,4,24,2,0,7393,1,3,1,3,1,4,2,43,3,2,1,2,2,1,1,1
655,1,18,2,3,2389,1,2,4,2,1,1,3,27,2,2,1,3,1,1,1,1
656,2,24,3,2,2064,1,1,3,2,1,2,2,34,3,2,1,4,1,2,1,0
657,4,15,2,2,2708,1,2,2,3,1,3,2,27,1,2,2,2,1,1,1,1
658,4,18,3,3,2320,1,1,2,4,1,3,1,34,3,2,2,3,1,1,1,1
659,2,24,2,3,5084,5,5,2,2,1,4,3,42,3,2,1,3,1,2,1,1
660,1,12,2,2,3590,1,3,2,3,2,2,2,29,3,2,1,2,2,1,1,1
661,1,48,0,1,4605,1,5,3,3,1,4,4,24,3,3,2,3,2,1,1,0
662,4,15,4,3,1459,1,3,4,2,1,2,3,43,3,2,1,2,1,1,1,1
663,3,24,4,2,3617,5,5,4,3,2,4,4,20,3,1,2,3,1,1,1,1
664,4,5,2,9,3448,1,4,1,3,1,4,1,74,3,2,1,2,1,1,1,1
665,4,15,2,3,1386,5,3,4,4,1,2,1,40,3,1,1,3,1,2,1,1
666,4,18,4,3,1169,5,3,4,3,1,3,2,29,3,2,2,3,1,2,1,1
667,4,7,3,3,846,5,5,3,3,1,4,4,36,3,3,1,3,1,1,1,1
668,1,36,4,2,6229,1,2,4,2,2,4,4,23,3,1,2,2,1,2,1,0
669,4,12,4,3,717,1,5,4,3,1,4,1,52,3,2,3,3,1,1,1,1
670,4,60,2,0,6527,5,3,4,3,1,4,4,34,3,3,1,3,2,2,1,1
671,1,24,1,3,1546,1,4,4,3,3,4,3,24,1,1,1,2,1,1,1,0
672,3,18,2,0,1961,1,5,3,2,1,2,3,23,3,2,1,4,1,1,1,1
673,4,10,2,1,2848,2,3,1,3,2,2,1,32,3,2,1,3,2,1,1,1
674,1,12,2,2,2578,1,1,3,2,1,4,4,55,3,3,1,4,1,1,1,1
675,4,12,2,1,4675,5,2,1,2,1,4,3,20,3,1,1,3,1,1,1,1
676,2,36,2,2,9034,2,2,4,3,2,1,4,29,3,1,1,4,1,2,1,0
677,4,12,2,6,719,1,5,4,3,1,4,3,41,1,2,1,2,2,1,1,0
678,4,24,2,2,2835,3,5,3,3,1,4,2,53,3,2,1,3,1,1,1,1
679,4,36,2,1,4686,1,3,2,3,1,2,4,32,3,3,1,4,1,2,1,1
680,2,30,1,2,3496,4,3,4,3,1,2,3,34,2,2,1,3,2,2,1,1
681,4,12,4,6,2012,5,4,4,2,1,2,3,61,3,2,1,3,1,1,1,1
682,4,18,4,6,1864,2,3,4,2,1,2,1,30,3,2,2,3,1,1,1,0
683,2,36,0,3,3804,1,3,4,2,1,1,3,42,3,2,1,3,1,2,1,0
684,2,24,0,9,4241,1,3,1,3,1,4,1,36,3,2,3,2,1,2,1,0
685,3,24,4,3,3148,5,3,3,3,1,2,3,31,3,2,2,3,1,2,1,1
686,1,24,2,0,2303,1,5,4,3,2,1,1,45,3,2,1,3,1,1,1,0
687,1,6,2,1,1352,3,1,1,2,1,2,2,23,3,1,1,1,1,2,1,1
688,3,12,2,3,1881,1,3,2,2,1,2,3,44,3,1,1,2,1,2,1,1
689,4,18,2,3,1473,1,2,3,4,1,4,1,39,3,2,1,3,1,2,1,1
690,2,30,2,3,1715,5,3,4,2,1,1,3,26,3,2,1,3,1,1,1,1
691,2,24,4,10,11938,1,3,2,3,2,3,3,39,3,2,2,4,2,2,1,0
692,3,15,2,3,2327,1,2,2,2,1,3,1,25,3,2,1,2,1,1,1,0
693,2,6,2,3,484,1,4,3,4,3,3,1,28,1,2,1,2,1,1,1,1
694,3,9,2,3,1126,2,5,2,1,1,4,1,49,3,2,1,3,1,1,1,1
695,4,60,2,0,10366,1,5,2,3,1,4,2,42,3,2,1,4,1,2,1,1
696,1,6,2,2,1374,1,3,1,3,1,2,1,36,1,2,1,2,1,2,1,1
697,1,36,4,1,9629,1,4,4,3,1,4,3,24,3,2,2,3,1,2,1,0
698,2,20,3,10,2629,1,3,2,3,1,3,3,29,1,2,2,3,1,2,1,1
699,1,6,2,0,14896,1,5,1,3,1,4,4,68,1,2,1,4,1,2,1,0
700,1,12,4,0,3499,1,3,3,2,2,2,1,29,3,2,2,3,1,1,1,0
701,4,9,2,0,2507,3,5,2,3,1,4,4,51,3,3,1,2,1,1,1,1
702,2,48,0,9,3844,2,4,4,3,1,4,4,34,3,3,1,2,2,1,1,0
703,2,48,2,0,8487,5,4,1,2,1,2,3,24,3,2,1,3,1,1,1,1
704,3,6,4,0,1299,1,3,1,3,1,1,1,74,3,2,3,1,2,1,2,1
705,1,12,2,0,3651,4,3,1,3,1,3,2,31,3,2,1,3,2,1,1,1
706,4,24,2,1,7814,1,4,3,3,1,3,3,38,3,2,1,4,1,2,1,1
707,4,24,4,1,2197,5,4,4,3,1,4,3,43,3,2,2,3,2,2,1,1
708,1,33,4,2,4281,3,3,1,2,1,4,3,23,3,2,2,3,1,1,1,0
709,1,18,0,2,3114,1,2,1,2,1,4,2,26,3,1,1,3,1,1,1,0
710,1,18,2,2,1131,1,1,4,2,1,2,3,33,3,2,1,3,1,1,1,0
711,2,24,2,1,4113,3,2,3,2,1,4,3,28,3,1,1,3,1,1,1,0
712,4,24,2,3,2397,3,5,3,3,1,2,3,35,1,2,2,3,1,2,1,0
713,3,10,2,4,1225,1,3,2,3,1,2,3,37,3,2,1,3,1,2,1,1
714,3,24,2,3,1377,2,5,4,2,1,2,4,47,3,3,1,3,1,2,1,1
715,2,24,4,2,4736,1,2,2,2,1,4,3,25,1,2,1,2,1,1,1,0
716,4,24,4,2,3777,4,3,4,3,1,4,1,40,3,2,1,3,1,2,1,1
717,1,12,4,1,1409,1,5,4,3,1,3,1,54,3,2,1,3,1,1,1,1
718,2,48,3,10,7582,2,1,2,3,1,4,4,31,3,2,1,4,1,2,1,1
719,2,24,3,9,4712,5,3,4,3,1,2,2,34,1,2,2,4,1,2,1,1
720,4,12,4,6,2748,1,5,2,2,1,4,4,57,1,3,3,2,1,1,1,1
721,1,6,1,6,1198,1,5,4,2,1,4,4,35,3,3,1,3,1,1,1,0
722,2,48,1,9,6416,1,5,4,2,1,3,4,59,3,1,1,3,1,1,1,0
723,4,11,4,3,1154,2,1,4,2,1,4,1,57,3,2,3,2,1,1,1,1
724,4,24,4,3,5103,1,2,3,4,1,3,4,47,3,3,3,3,1,2,1,1
725,4,33,4,1,7253,1,4,3,3,1,2,3,35,3,2,2,4,1,2,1,1
726,2,13,4,3,882,1,2,4,3,3,4,1,23,3,2,2,3,1,1,1,1
727,4,36,2,9,7409,5,5,3,3,1,2,2,37,3,2,2,3,1,1,1,1
728,4,22,2,0,1283,5,4,4,2,1,4,2,25,3,1,1,3,1,1,1,1
729,4,24,2,1,6313,5,5,3,3,1,4,3,41,3,2,1,4,2,2,1,1
730,1,39,4,2,14179,5,4,4,3,1,4,2,30,3,2,2,4,1,2,1,1
731,2,12,2,3,6468,5,1,2,3,1,1,4,52,3,2,1,4,1,2,1,0
732,4,36,4,1,5711,4,5,4,3,1,2,3,38,3,2,2,4,1,2,1,1
733,4,42,4,2,4041,3,3,4,3,1,4,1,36,3,2,2,3,1,2,1,1
734,1,6,4,0,666,4,4,3,2,1,4,1,39,3,2,2,2,1,2,1,1
735,1,24,2,2,2996,5,3,2,4,1,4,3,20,3,2,1,3,1,1,1,0
736,4,12,4,0,1495,1,5,4,3,1,1,1,38,3,2,2,2,2,1,1,1
737,2,30,2,2,3441,2,3,2,2,2,4,3,21,1,1,1,3,1,1,1,0
738,2,24,3,3,6403,1,2,1,3,1,2,3,33,3,2,1,3,1,1,1,1
739,4,36,2,1,8133,1,3,1,2,1,2,2,30,1,2,1,3,1,1,1,1
740,4,18,3,2,1808,1,4,4,2,1,1,1,22,3,2,1,3,1,1,1,0
741,4,24,2,3,5943,5,2,1,2,1,1,3,44,3,2,2,3,1,2,1,0
742,4,60,2,3,10144,2,4,2,2,1,4,1,21,3,2,1,3,1,2,1,1
743,4,18,2,0,1820,1,3,2,4,1,2,2,30,3,2,1,4,1,2,1,1
744,2,24,1,6,1837,1,4,4,2,1,4,4,34,1,3,1,2,1,1,1,0
745,2,24,2,0,1355,1,2,3,2,1,4,3,25,3,2,1,2,1,2,1,0
746,4,18,4,3,2404,1,3,2,2,1,2,3,26,3,2,2,3,1,1,1,1
747,4,12,3,1,1503,1,3,4,4,1,4,1,41,3,1,1,3,1,1,1,1
748,2,9,4,6,1501,1,5,2,2,1,3,3,34,3,2,2,4,1,2,1,0
749,1,24,2,0,1371,5,3,4,2,1,4,1,25,3,1,1,3,1,1,1,0
750,4,30,4,3,6742,5,4,2,3,1,3,2,36,3,2,2,3,1,1,1,1
751,4,24,4,2,1585,1,4,4,3,1,3,2,40,3,2,2,3,1,1,1,1
752,2,12,2,2,3017,1,2,3,2,1,1,1,34,3,1,1,4,1,1,1,1
753,1,60,3,9,6836,1,5,3,3,1,4,4,63,3,2,2,3,1,2,1,0
754,4,9,2,3,2697,1,3,1,3,1,2,1,32,3,2,1,3,2,1,1,1
755,1,12,2,0,759,1,4,4,3,1,2,1,26,3,2,1,3,1,1,1,0
756,4,9,2,2,1980,1,2,2,2,2,2,3,19,3,1,2,3,1,1,1,0
757,1,6,2,3,2647,3,3,2,3,1,3,1,44,3,1,1,3,2,1,1,1
758,4,18,2,2,1533,1,2,4,4,2,1,2,43,3,2,1,2,2,1,1,0
759,2,48,2,9,15672,1,3,2,3,1,2,3,23,3,2,1,3,1,2,1,0
760,1,6,2,4,343,1,2,4,2,1,1,1,27,3,2,1,3,1,1,1,1
761,4,42,2,3,7166,5,4,2,4,1,4,2,29,3,1,1,3,1,2,1,1
762,1,15,4,2,1478,1,5,4,3,1,4,3,44,3,2,2,3,2,2,1,1
