"","ID","Account.Balance","Duration.of.Credit..month.","Payment.Status.of.Previous.Credit","Purpose","Credit.Amount","Value.Savings.Stocks","Length.of.current.employment","Instalment.per.cent","Guarantors","Duration.in.Current.address","Most.valuable.available.asset","Age..years.","Concurrent.Credits","Type.of.apartment","No.of.Credits.at.this.Bank","Occupation","No.of.dependents","Telephone","Foreign.Worker","Creditability","Sex","Marital.Status"
"194",344,"0 <= ... < 200 EU",12,"Existing Paid","Car(Used)",2028,"Unknown","1 <= ... < 4 Years","> 35%","None","1 - 4 Years","Car or Other",30,"None","Own","1","Skilled Official","< 3","None","Yes","Good","Male","Single"
"195",345,"< 0 EU",36,"Existing Paid","Car(Used)",8335,"Unknown",">= 7 Years","25% - 35%","None","> 7 Years","Unknown",47,"None","For Free","1","Skilled Official","< 3","None","Yes","Bad","Male","Single"
"196",346,"0 <= ... < 200 EU",12,"Existing Paid","Furniture/Equipment",1922,"< 100 EU","1 <= ... < 4 Years","> 35%","None","1 - 4 Years","Savings Agreement/Life Insurance",37,"None","Own","1","Unskilled Resident","< 3","None","Yes","Bad","Male","Single"
"197",347,"No Account",36,"Existing Paid","Radio/Television",3595,"< 100 EU",">= 7 Years","> 35%","None","1 - 4 Years","Car or Other",28,"None","Own","1","Skilled Official","< 3","None","Yes","Good","Male","Single"
"198",348,"No Account",15,"Critical Account","Furniture/Equipment",3343,"< 100 EU","1 <= ... < 4 Years","> 35%","None","1 - 4 Years","Unknown",28,"None","For Free","1","Skilled Official","< 3","Registered","Yes","Good","Male","Single"
"199",349,"< 0 EU",48,"Existing Paid","Car(Used)",10297,"< 100 EU","4 <= ... < 7 Years","> 35%","None","> 7 Years","Unknown",39,"None","For Free","4 or 5","Skilled Official",">= 3","Registered","Yes","Bad","Male","Single"
"200",350,"0 <= ... < 200 EU",24,"Delay Paid","Radio/Television",1553,"100 <= ... < 500 EU","4 <= ... < 7 Years","25% - 35%","None","1 - 4 Years","Savings Agreement/Life Insurance",23,"None","Rent","2 or 3","Skilled Official","< 3","Registered","Yes","Good","Female","Divorced/Separated/Married"
"201",351,"< 0 EU",12,"Existing Paid","Car(New)",1372,"< 100 EU","4 <= ... < 7 Years","20% - 25%","None","4 - 7 Years","Car or Other",36,"None","Own","1","Skilled Official","< 3","None","Yes","Bad","Male","Divorced/Separated/Married"
"202",352,"< 0 EU",12,"Existing Paid","Education",795,"< 100 EU","< 1 Year","> 35%","None","> 7 Years","Savings Agreement/Life Insurance",53,"None","Own","1","Skilled Official","< 3","None","Yes","Bad","Female","Divorced/Separated/Married"
"203",353,"< 0 EU",36,"Existing Paid","Radio/Television",2302,"< 100 EU","1 <= ... < 4 Years","> 35%","None","> 7 Years","Car or Other",31,"None","Rent","1","Skilled Official","< 3","None","Yes","Bad","Male","Divorced/Separated/Married"
"204",354,"No Account",12,"Critical Account","Furniture/Equipment",1935,"< 100 EU",">= 7 Years","> 35%","None","> 7 Years","Real Estate",43,"None","Own","4 or 5","Skilled Official","< 3","Registered","Yes","Good","Male","Single"
"205",355,"No Account",9,"Critical Account","Car(New)",1224,"< 100 EU","1 <= ... < 4 Years","25% - 35%","None","< 1 Year","Real Estate",30,"None","Own","2 or 3","Skilled Official","< 3","None","Yes","Good","Male","Single"
"206",356,"No Account",12,"Existing Paid","Radio/Television",1963,"< 100 EU","4 <= ... < 7 Years","> 35%","None","1 - 4 Years","Car or Other",31,"None","Rent","2 or 3","Highly Qualified",">= 3","Registered","Yes","Good","Male","Single"
"207",357,"0 <= ... < 200 EU",36,"Critical Account","Car(New)",2820,"< 100 EU","< 1 Year","> 35%","None","> 7 Years","Car or Other",27,"None","Own","2 or 3","Skilled Official","< 3","None","Yes","Bad","Male","Divorced/Separated/Married"
"208",358,"No Account",6,"Existing Paid","Appliances",1338,"500 <= ... < 1000 EU","1 <= ... < 4 Years","< 20%","None","> 7 Years","Real Estate",62,"None","Own","1","Skilled Official","< 3","None","Yes","Good","Male","Divorced/Separated/Married"
"209",359,"< 0 EU",36,"Critical Account","Furniture/Equipment",2348,"< 100 EU","1 <= ... < 4 Years","25% - 35%","None","1 - 4 Years","Savings Agreement/Life Insurance",46,"None","Own","2 or 3","Skilled Official","< 3","Registered","Yes","Good","Male","Divorced/Separated/Married"
"210",360,"< 0 EU",18,"Existing Paid","Car(Used)",7511,"Unknown",">= 7 Years","< 20%","None","> 7 Years","Savings Agreement/Life Insurance",51,"None","For Free","1","Skilled Official",">= 3","Registered","Yes","Bad","Male","Single"
"211",361,"No Account",15,"Critical Account","Education",1532,"100 <= ... < 500 EU","1 <= ... < 4 Years","> 35%","None","4 - 7 Years","Car or Other",31,"None","Own","1","Skilled Official","< 3","None","Yes","Good","Female","Divorced/Separated/Married"
"212",362,"0 <= ... < 200 EU",15,"All Paid","Car(New)",1264,"100 <= ... < 500 EU","1 <= ... < 4 Years","20% - 25%","None","1 - 4 Years","Savings Agreement/Life Insurance",25,"None","Rent","1","Skilled Official","< 3","None","Yes","Bad","Male","Divorced/Separated/Married"
"213",363,"0 <= ... < 200 EU",30,"Existing Paid","Car(New)",2150,"< 100 EU","1 <= ... < 4 Years","> 35%","Guarantor","1 - 4 Years","Unknown",24,"Bank","Own","1","Skilled Official","< 3","None","Yes","Bad","Female","Divorced/Separated/Married"
"214",364,"No Account",12,"Critical Account","Car(New)",682,"100 <= ... < 500 EU","4 <= ... < 7 Years","> 35%","None","4 - 7 Years","Car or Other",51,"None","Own","2 or 3","Skilled Official","< 3","Registered","Yes","Good","Female","Divorced/Separated/Married"
"215",365,"No Account",12,"Existing Paid","Business",1076,"< 100 EU","1 <= ... < 4 Years","20% - 25%","None","1 - 4 Years","Real Estate",26,"None","Own","1","Skilled Official","< 3","Registered","Yes","Good","Male","Divorced/Separated/Married"
"216",366,"No Account",27,"Delay Paid","Business",5117,"< 100 EU","4 <= ... < 7 Years","25% - 35%","None","> 7 Years","Car or Other",26,"None","Own","2 or 3","Skilled Official","< 3","None","Yes","Good","Male","Single"
"217",367,"0 <= ... < 200 EU",30,"Critical Account","Furniture/Equipment",8386,"< 100 EU","4 <= ... < 7 Years","20% - 25%","None","1 - 4 Years","Savings Agreement/Life Insurance",49,"None","Own","1","Skilled Official","< 3","None","Yes","Bad","Male","Single"
"218",368,"No Account",10,"Existing Paid","Car(New)",1546,"< 100 EU","1 <= ... < 4 Years","25% - 35%","None","1 - 4 Years","Real Estate",31,"None","Own","1","Unskilled Resident",">= 3","None","No","Good","Male","Single"
"219",369,"0 <= ... < 200 EU",24,"Critical Account","Radio/Television",1216,"100 <= ... < 500 EU","< 1 Year","> 35%","None","> 7 Years","Unknown",38,"Bank","Own","2 or 3","Skilled Official",">= 3","None","Yes","Bad","Male","Single"
"220",370,"No Account",15,"Critical Account","Radio/Television",1316,"500 <= ... < 1000 EU","1 <= ... < 4 Years","20% - 25%","None","1 - 4 Years","Savings Agreement/Life Insurance",47,"None","Own","2 or 3","Unskilled Resident","< 3","None","Yes","Good","Male","Divorced/Separated/Married"
"221",371,"No Account",18,"Existing Paid","Furniture/Equipment",2515,"< 100 EU","1 <= ... < 4 Years","25% - 35%","None","> 7 Years","Real Estate",43,"None","Own","1","Skilled Official","< 3","Registered","Yes","Good","Male","Single"
"222",372,"No Account",12,"Existing Paid","Education",1393,"< 100 EU",">= 7 Years","> 35%","None","> 7 Years","Savings Agreement/Life Insurance",47,"Bank","Own","4 or 5","Skilled Official",">= 3","Registered","Yes","Good","Male","Single"
"223",373,"0 <= ... < 200 EU",12,"Existing Paid","Car(New)",7472,"Unknown","Unemployed","< 20%","None","1 - 4 Years","Real Estate",24,"None","Rent","1","Unemployed Non-resident","< 3","None","Yes","Good","Female","Divorced/Separated/Married"
"224",374,"No Account",12,"Critical Account","Furniture/Equipment",1592,">= 1000 EU","4 <= ... < 7 Years","25% - 35%","None","1 - 4 Years","Savings Agreement/Life Insurance",35,"None","Own","1","Skilled Official","< 3","None","Yes","Good","Female","Divorced/Separated/Married"
"225",375,"No Account",12,"Critical Account","Repairs",996,"Unknown","4 <= ... < 7 Years","> 35%","None","> 7 Years","Real Estate",23,"None","Own","2 or 3","Skilled Official","< 3","None","Yes","Good","Female","Divorced/Separated/Married"
"226",376,"< 0 EU",20,"Critical Account","Car(New)",2235,"< 100 EU","1 <= ... < 4 Years","> 35%","Guarantor","1 - 4 Years","Savings Agreement/Life Insurance",33,"Bank","Rent","2 or 3","Skilled Official","< 3","None","No","Bad","Male","Divorced/Separated/Married"
"227",377,"< 0 EU",12,"Existing Paid","Radio/Television",727,"100 <= ... < 500 EU","< 1 Year","> 35%","None","4 - 7 Years","Unknown",33,"None","Own","1","Unskilled Resident","< 3","Registered","Yes","Bad","Male","Divorced/Separated/Married"
"228",378,"0 <= ... < 200 EU",8,"Existing Paid","Business",907,"< 100 EU","< 1 Year","25% - 35%","None","1 - 4 Years","Real Estate",26,"None","Own","1","Skilled Official","< 3","Registered","Yes","Good","Male","Divorced/Separated/Married"
"229",379,"No Account",15,"Critical Account","Car(Used)",3368,">= 1000 EU",">= 7 Years","25% - 35%","None","> 7 Years","Unknown",23,"None","Rent","2 or 3","Skilled Official","< 3","Registered","Yes","Good","Male","Single"
"230",380,"No Account",30,"Critical Account","Radio/Television",5954,"< 100 EU","4 <= ... < 7 Years","25% - 35%","Co-Applicant","1 - 4 Years","Car or Other",38,"None","Own","1","Skilled Official","< 3","None","Yes","Good","Male","Single"
"231",381,"0 <= ... < 200 EU",12,"Existing Paid","Car(New)",836,"100 <= ... < 500 EU","< 1 Year","> 35%","None","1 - 4 Years","Savings Agreement/Life Insurance",23,"Bank","Own","1","Unskilled Resident","< 3","None","Yes","Bad","Female","Divorced/Separated/Married"
"232",382,"0 <= ... < 200 EU",21,"Existing Paid","Business",1188,"< 100 EU",">= 7 Years","20% - 25%","None","> 7 Years","Savings Agreement/Life Insurance",39,"None","Own","1","Skilled Official",">= 3","None","Yes","Bad","Female","Divorced/Separated/Married"
"233",383,"No Account",21,"Delay Paid","Furniture/Equipment",1591,"100 <= ... < 500 EU","4 <= ... < 7 Years","> 35%","None","4 - 7 Years","Real Estate",34,"None","Own","2 or 3","Highly Qualified","< 3","None","Yes","Good","Male","Single"
"234",384,">= 200 EU",12,"Existing Paid","Radio/Television",1297,"< 100 EU","1 <= ... < 4 Years","25% - 35%","None","> 7 Years","Real Estate",23,"None","Rent","1","Skilled Official","< 3","None","Yes","Good","Male","Divorced/Separated/Married"
"235",385,"No Account",13,"Existing Paid","Radio/Television",1409,"100 <= ... < 500 EU","Unemployed","20% - 25%","None","> 7 Years","Real Estate",64,"None","Own","1","Skilled Official","< 3","None","Yes","Good","Female","Divorced/Separated/Married"
"236",386,"0 <= ... < 200 EU",30,"Critical Account","Car(New)",2181,"Unknown",">= 7 Years","> 35%","None","> 7 Years","Real Estate",36,"None","Own","2 or 3","Skilled Official","< 3","None","Yes","Good","Male","Single"
"237",387,"0 <= ... < 200 EU",24,"Existing Paid","Car(Used)",11560,"< 100 EU","1 <= ... < 4 Years","< 20%","None","> 7 Years","Car or Other",23,"None","Rent","2 or 3","Highly Qualified","< 3","None","Yes","Bad","Female","Divorced/Separated/Married"
"238",388,"0 <= ... < 200 EU",15,"Existing Paid","Repairs",1308,"< 100 EU",">= 7 Years","> 35%","None","> 7 Years","Car or Other",38,"None","Own","2 or 3","Unskilled Resident","< 3","None","Yes","Good","Male","Single"
"239",389,"< 0 EU",36,"All Paid","Furniture/Equipment",2746,"< 100 EU",">= 7 Years","> 35%","None","> 7 Years","Car or Other",31,"Bank","Own","1","Skilled Official","< 3","None","Yes","Bad","Male","Single"
"240",390,"0 <= ... < 200 EU",12,"Critical Account","Appliances",1424,"< 100 EU","4 <= ... < 7 Years","> 35%","None","4 - 7 Years","Savings Agreement/Life Insurance",26,"None","Own","1","Skilled Official","< 3","None","Yes","Good","Male","Single"
"241",391,"0 <= ... < 200 EU",9,"All Paid","Car(Used)",5129,"< 100 EU",">= 7 Years","20% - 25%","None","> 7 Years","Unknown",74,"Bank","For Free","1","Highly Qualified",">= 3","Registered","Yes","Bad","Female","Divorced/Separated/Married"
"242",392,"0 <= ... < 200 EU",18,"Critical Account","Business",3590,"< 100 EU","Unemployed","25% - 35%","None","4 - 7 Years","Car or Other",40,"None","Own","4 or 5","Unemployed Non-resident",">= 3","Registered","Yes","Good","Male","Divorced/Separated/Married"
"243",393,"0 <= ... < 200 EU",12,"Existing Paid","Radio/Television",1155,"< 100 EU",">= 7 Years","25% - 35%","Guarantor","4 - 7 Years","Real Estate",40,"Bank","Own","2 or 3","Unskilled Resident","< 3","None","Yes","Good","Male","Divorced/Separated/Married"
"244",394,"0 <= ... < 200 EU",36,"Existing Paid","Car(Used)",6948,"< 100 EU","1 <= ... < 4 Years","20% - 25%","None","1 - 4 Years","Car or Other",35,"None","Rent","1","Highly Qualified","< 3","Registered","Yes","Good","Male","Single"
"245",395,"0 <= ... < 200 EU",48,"None Taken","Other",18424,"< 100 EU","1 <= ... < 4 Years","< 20%","None","1 - 4 Years","Savings Agreement/Life Insurance",32,"Bank","Own","1","Highly Qualified","< 3","Registered","No","Bad","Female","Divorced/Separated/Married"
"246",396,"< 0 EU",24,"None Taken","Furniture/Equipment",4110,"< 100 EU",">= 7 Years","25% - 35%","None","> 7 Years","Unknown",23,"Bank","Rent","2 or 3","Skilled Official",">= 3","None","Yes","Bad","Male","Single"
"247",397,"0 <= ... < 200 EU",15,"Existing Paid","Repairs",2631,"100 <= ... < 500 EU","1 <= ... < 4 Years","25% - 35%","None","1 - 4 Years","Real Estate",25,"None","Own","1","Unskilled Resident","< 3","None","Yes","Good","Female","Divorced/Separated/Married"
"248",398,"< 0 EU",24,"Existing Paid","Car(New)",1442,"< 100 EU","4 <= ... < 7 Years","> 35%","None","> 7 Years","Car or Other",23,"None","Rent","2 or 3","Skilled Official","< 3","None","Yes","Bad","Female","Divorced/Separated/Married"
"249",399,"< 0 EU",18,"Existing Paid","Furniture/Equipment",2462,"< 100 EU","1 <= ... < 4 Years","20% - 25%","None","1 - 4 Years","Car or Other",22,"None","Own","1","Skilled Official","< 3","None","Yes","Bad","Male","Single"
"250",400,"< 0 EU",12,"None Taken","Radio/Television",6199,"< 100 EU","1 <= ... < 4 Years","> 35%","None","1 - 4 Years","Savings Agreement/Life Insurance",28,"None","Rent","2 or 3","Skilled Official","< 3","Registered","Yes","Bad","Male","Single"
"251",401,"< 0 EU",15,"Delay Paid","Furniture/Equipment",3643,"< 100 EU",">= 7 Years","< 20%","None","> 7 Years","Savings Agreement/Life Insurance",27,"None","Own","2 or 3","Unskilled Resident","< 3","None","Yes","Good","Female","Divorced/Separated/Married"
"252",402,"No Account",18,"Existing Paid","Car(New)",2662,"Unknown","4 <= ... < 7 Years","> 35%","None","4 - 7 Years","Savings Agreement/Life Insurance",32,"None","Own","1","Skilled Official","< 3","None","No","Good","Male","Single"
"253",403,"0 <= ... < 200 EU",12,"Critical Account","Furniture/Equipment",3617,"< 100 EU",">= 7 Years","< 20%","None","> 7 Years","Car or Other",28,"None","Rent","4 or 5","Skilled Official","< 3","Registered","Yes","Good","Male","Single"
"254",404,"No Account",24,"Existing Paid","Car(New)",1525,">= 1000 EU","4 <= ... < 7 Years","> 35%","None","4 - 7 Years","Car or Other",34,"None","Own","1","Skilled Official",">= 3","Registered","Yes","Good","Female","Divorced/Separated/Married"
"255",405,"No Account",18,"Existing Paid","Car(Used)",3378,"Unknown","1 <= ... < 4 Years","20% - 25%","None","< 1 Year","Savings Agreement/Life Insurance",31,"None","Own","1","Skilled Official","< 3","Registered","Yes","Good","Male","Single"
"256",406,"0 <= ... < 200 EU",6,"Existing Paid","Radio/Television",753,"< 100 EU","1 <= ... < 4 Years","20% - 25%","Guarantor","4 - 7 Years","Real Estate",64,"None","Own","1","Skilled Official","< 3","None","Yes","Good","Female","Divorced/Separated/Married"
"257",407,"0 <= ... < 200 EU",18,"Existing Paid","Radio/Television",1301,"< 100 EU",">= 7 Years","> 35%","Guarantor","1 - 4 Years","Real Estate",32,"None","Own","1","Unskilled Resident","< 3","None","Yes","Good","Male","Divorced/Separated/Married"
"258",408,"0 <= ... < 200 EU",6,"Existing Paid","Radio/Television",590,"< 100 EU","< 1 Year","25% - 35%","None","4 - 7 Years","Real Estate",26,"None","Own","1","Unskilled Resident","< 3","None","No","Good","Male","Divorced/Separated/Married"
"259",409,"< 0 EU",30,"Existing Paid","Furniture/Equipment",3108,"< 100 EU","< 1 Year","20% - 25%","None","> 7 Years","Savings Agreement/Life Insurance",31,"None","Own","1","Unskilled Resident","< 3","None","Yes","Bad","Male","Divorced/Separated/Married"
"260",410,"< 0 EU",24,"Existing Paid","Furniture/Equipment",7721,"Unknown","< 1 Year","< 20%","None","1 - 4 Years","Savings Agreement/Life Insurance",30,"None","Own","1","Skilled Official","< 3","Registered","No","Good","Female","Divorced/Separated/Married"
"261",411,"0 <= ... < 200 EU",13,"Existing Paid","Radio/Television",2101,"< 100 EU","< 1 Year","20% - 25%","Guarantor","> 7 Years","Savings Agreement/Life Insurance",23,"None","Own","1","Unskilled Resident","< 3","None","Yes","Good","Female","Divorced/Separated/Married"
"262",412,"< 0 EU",48,"Existing Paid","Education",7476,"< 100 EU","4 <= ... < 7 Years","> 35%","None","< 1 Year","Unknown",50,"None","For Free","1","Highly Qualified","< 3","Registered","Yes","Good","Male","Single"
"263",413,"No Account",18,"Existing Paid","Business",1950,"< 100 EU","4 <= ... < 7 Years","> 35%","None","< 1 Year","Car or Other",34,"Stores","Own","2 or 3","Skilled Official","< 3","Registered","Yes","Good","Male","Single"
"264",414,"No Account",24,"Existing Paid","Radio/Television",1901,"100 <= ... < 500 EU","1 <= ... < 4 Years","> 35%","None","> 7 Years","Car or Other",29,"None","Rent","1","Highly Qualified","< 3","Registered","Yes","Good","Male","Single"
"265",415,"< 0 EU",21,"Existing Paid","Furniture/Equipment",3599,"< 100 EU","4 <= ... < 7 Years","< 20%","None","> 7 Years","Car or Other",26,"None","Rent","1","Unskilled Resident","< 3","None","Yes","Good","Female","Divorced/Separated/Married"
"266",416,"< 0 EU",18,"Existing Paid","Education",750,"< 100 EU","Unemployed","> 35%","None","< 1 Year","Real Estate",27,"None","Own","1","Unemployed Non-resident","< 3","None","Yes","Bad","Female","Divorced/Separated/Married"
"267",417,"< 0 EU",12,"Delay Paid","Car(New)",1344,"< 100 EU","1 <= ... < 4 Years","> 35%","None","1 - 4 Years","Real Estate",43,"None","Own","2 or 3","Unskilled Resident",">= 3","None","Yes","Good","Male","Single"
"268",418,"0 <= ... < 200 EU",7,"Existing Paid","Radio/Television",2329,"< 100 EU","< 1 Year","< 20%","Guarantor","< 1 Year","Real Estate",45,"None","Own","1","Skilled Official","< 3","None","Yes","Good","Female","Divorced/Separated/Married"
"269",419,"< 0 EU",42,"Critical Account","Repairs",3394,"< 100 EU","Unemployed","> 35%","Co-Applicant","> 7 Years","Car or Other",65,"None","Own","2 or 3","Unemployed Non-resident","< 3","None","Yes","Good","Male","Single"
"270",420,"< 0 EU",36,"Existing Paid","Car(New)",9271,"< 100 EU","4 <= ... < 7 Years","20% - 25%","None","< 1 Year","Car or Other",24,"None","Own","1","Skilled Official","< 3","Registered","Yes","Bad","Male","Single"
"271",421,"0 <= ... < 200 EU",12,"Critical Account","Car(Used)",1804,"100 <= ... < 500 EU","< 1 Year","25% - 35%","None","> 7 Years","Savings Agreement/Life Insurance",44,"None","Own","1","Skilled Official","< 3","None","Yes","Good","Male","Single"
"272",422,"< 0 EU",12,"Existing Paid","Radio/Television",701,"< 100 EU","1 <= ... < 4 Years","> 35%","None","1 - 4 Years","Real Estate",40,"None","Own","1","Unskilled Resident","< 3","None","Yes","Good","Male","Divorced/Separated/Married"
"273",423,"0 <= ... < 200 EU",24,"Existing Paid","Car(New)",1201,"< 100 EU","< 1 Year","> 35%","None","< 1 Year","Savings Agreement/Life Insurance",26,"None","Own","1","Skilled Official","< 3","None","Yes","Good","Male","Single"
"274",424,"No Account",24,"Existing Paid","Radio/Television",3181,"< 100 EU","< 1 Year","> 35%","None","> 7 Years","Savings Agreement/Life Insurance",26,"None","Own","1","Skilled Official","< 3","Registered","Yes","Good","Female","Divorced/Separated/Married"
"275",425,"0 <= ... < 200 EU",6,"Existing Paid","Repairs",454,"< 100 EU","< 1 Year","25% - 35%","None","< 1 Year","Savings Agreement/Life Insurance",22,"None","Own","1","Unskilled Resident","< 3","None","Yes","Good","Male","Divorced/Separated/Married"
"276",426,"No Account",10,"Existing Paid","Car(New)",1418,"100 <= ... < 500 EU","1 <= ... < 4 Years","25% - 35%","None","1 - 4 Years","Real Estate",35,"None","Rent","1","Unskilled Resident","< 3","None","No","Good","Male","Single"
"277",427,"0 <= ... < 200 EU",12,"Delay Paid","Radio/Television",585,"< 100 EU","1 <= ... < 4 Years","> 35%","Co-Applicant","> 7 Years","Real Estate",20,"None","Rent","2 or 3","Skilled Official","< 3","None","Yes","Good","Male","Divorced/Separated/Married"
"278",428,"No Account",4,"Critical Account","Car(New)",1455,"< 100 EU","4 <= ... < 7 Years","20% - 25%","None","< 1 Year","Real Estate",42,"None","Own","4 or 5","Unskilled Resident",">= 3","None","Yes","Good","Male","Single"
"279",429,">= 200 EU",10,"Critical Account","Radio/Television",1347,"Unknown","4 <= ... < 7 Years","> 35%","None","1 - 4 Years","Savings Agreement/Life Insurance",27,"None","Own","2 or 3","Skilled Official","< 3","Registered","Yes","Good","Male","Single"
"280",430,"0 <= ... < 200 EU",18,"Delay Paid","Repairs",6204,"< 100 EU","1 <= ... < 4 Years","20% - 25%","None","> 7 Years","Real Estate",44,"None","Own","1","Unskilled Resident",">= 3","Registered","Yes","Good","Male","Single"
"281",431,"No Account",24,"Existing Paid","Car(Used)",2670,"< 100 EU",">= 7 Years","> 35%","None","> 7 Years","Car or Other",35,"None","Own","1","Highly Qualified","< 3","Registered","Yes","Good","Male","Single"
"282",432,"0 <= ... < 200 EU",12,"Existing Paid","Radio/Television",1158,"500 <= ... < 1000 EU","1 <= ... < 4 Years","25% - 35%","None","< 1 Year","Car or Other",26,"None","Own","1","Skilled Official","< 3","Registered","Yes","Good","Male","Divorced/Separated/Married"
"283",433,"< 0 EU",12,"Existing Paid","Car(New)",900,"Unknown","1 <= ... < 4 Years","> 35%","None","1 - 4 Years","Car or Other",23,"None","Own","1","Skilled Official","< 3","None","Yes","Bad","Male","Divorced/Separated/Married"
"284",434,"No Account",24,"Critical Account","Radio/Television",2223,"100 <= ... < 500 EU",">= 7 Years","> 35%","None","> 7 Years","Savings Agreement/Life Insurance",52,"Bank","Own","2 or 3","Skilled Official","< 3","None","Yes","Good","Male","Single"
"285",435,"0 <= ... < 200 EU",36,"Existing Paid","Education",3711,"Unknown","1 <= ... < 4 Years","20% - 25%","None","1 - 4 Years","Car or Other",27,"None","Own","1","Skilled Official","< 3","None","Yes","Good","Male","Divorced/Separated/Married"
"286",436,"0 <= ... < 200 EU",45,"Critical Account","Radio/Television",4746,"< 100 EU","< 1 Year","> 35%","None","1 - 4 Years","Savings Agreement/Life Insurance",24,"Bank","Own","2 or 3","Unskilled Resident","< 3","None","Yes","Bad","Male","Single"
"287",437,"No Account",21,"Critical Account","Furniture/Equipment",2288,"< 100 EU","< 1 Year","> 35%","None","> 7 Years","Savings Agreement/Life Insurance",23,"None","Own","1","Skilled Official","< 3","Registered","Yes","Good","Female","Divorced/Separated/Married"
"288",438,"No Account",12,"Critical Account","Car(New)",1163,"500 <= ... < 1000 EU","1 <= ... < 4 Years","> 35%","None","> 7 Years","Real Estate",44,"None","Own","1","Skilled Official","< 3","Registered","Yes","Good","Male","Single"
"289",439,"No Account",36,"Critical Account","Furniture/Equipment",7127,"< 100 EU","< 1 Year","20% - 25%","None","> 7 Years","Savings Agreement/Life Insurance",23,"None","Rent","2 or 3","Skilled Official","< 3","Registered","Yes","Bad","Female","Divorced/Separated/Married"
"290",440,"No Account",18,"Critical Account","Radio/Television",1149,">= 1000 EU","1 <= ... < 4 Years","> 35%","None","4 - 7 Years","Real Estate",46,"None","Own","2 or 3","Skilled Official","< 3","None","Yes","Good","Male","Single"
"291",441,"< 0 EU",24,"Existing Paid","Business",6568,"< 100 EU","1 <= ... < 4 Years","20% - 25%","None","1 - 4 Years","Car or Other",21,"Stores","Own","1","Unskilled Resident","< 3","None","Yes","Good","Male","Divorced/Separated/Married"
"292",442,"0 <= ... < 200 EU",72,"Existing Paid","Radio/Television",5595,"100 <= ... < 500 EU","1 <= ... < 4 Years","20% - 25%","None","1 - 4 Years","Car or Other",24,"None","Own","1","Skilled Official","< 3","None","Yes","Bad","Male","Divorced/Separated/Married"
"293",443,"No Account",12,"Existing Paid","Furniture/Equipment",763,"< 100 EU","1 <= ... < 4 Years","> 35%","None","< 1 Year","Real Estate",26,"None","Own","1","Skilled Official","< 3","Registered","Yes","Good","Female","Divorced/Separated/Married"
"294",444,"0 <= ... < 200 EU",24,"Existing Paid","Radio/Television",2039,"< 100 EU","< 1 Year","< 20%","None","< 1 Year","Savings Agreement/Life Insurance",22,"None","Own","1","Skilled Official","< 3","Registered","Yes","Bad","Male","Divorced/Separated/Married"
"295",445,"< 0 EU",24,"Existing Paid","Car(New)",1381,"Unknown","1 <= ... < 4 Years","> 35%","None","1 - 4 Years","Savings Agreement/Life Insurance",35,"None","Own","1","Skilled Official","< 3","None","Yes","Bad","Female","Divorced/Separated/Married"
"296",446,"No Account",48,"Delay Paid","Radio/Television",7238,"Unknown",">= 7 Years","25% - 35%","None","4 - 7 Years","Car or Other",32,"Bank","Own","2 or 3","Skilled Official",">= 3","None","Yes","Good","Male","Single"
"297",447,"0 <= ... < 200 EU",45,"Existing Paid","Radio/Television",3031,"100 <= ... < 500 EU","1 <= ... < 4 Years","> 35%","Guarantor","> 7 Years","Savings Agreement/Life Insurance",21,"None","Rent","1","Skilled Official","< 3","None","Yes","Bad","Male","Single"
"298",448,"0 <= ... < 200 EU",36,"Existing Paid","Education",2273,"< 100 EU","4 <= ... < 7 Years","25% - 35%","None","< 1 Year","Car or Other",32,"None","Own","2 or 3","Skilled Official",">= 3","None","Yes","Good","Male","Single"
"299",449,"No Account",24,"Existing Paid","Radio/Television",1311,"100 <= ... < 500 EU","4 <= ... < 7 Years","> 35%","None","4 - 7 Years","Savings Agreement/Life Insurance",26,"None","Own","1","Skilled Official","< 3","Registered","Yes","Good","Male","Divorced/Separated/Married"
"300",450,"< 0 EU",18,"Existing Paid","Car(New)",4380,"100 <= ... < 500 EU","1 <= ... < 4 Years","25% - 35%","None","> 7 Years","Car or Other",35,"None","Own","1","Unskilled Resident",">= 3","Registered","Yes","Good","Male","Single"
"301",451,"No Account",30,"Critical Account","Radio/Television",2831,"< 100 EU","1 <= ... < 4 Years","> 35%","None","1 - 4 Years","Car or Other",33,"None","Own","1","Skilled Official","< 3","Registered","Yes","Good","Female","Divorced/Separated/Married"
"302",452,"< 0 EU",12,"Existing Paid","Education",684,"< 100 EU","1 <= ... < 4 Years","> 35%","None","> 7 Years","Car or Other",40,"None","Rent","1","Unskilled Resident",">= 3","None","Yes","Bad","Male","Single"
"303",453,"< 0 EU",18,"Existing Paid","Appliances",1217,"< 100 EU","1 <= ... < 4 Years","> 35%","None","4 - 7 Years","Real Estate",47,"None","Own","1","Unskilled Resident","< 3","Registered","Yes","Bad","Male","Divorced/Separated/Married"
"304",454,"< 0 EU",24,"Existing Paid","Car(Used)",2924,"< 100 EU","1 <= ... < 4 Years","25% - 35%","Guarantor","> 7 Years","Unknown",63,"Bank","Own","1","Skilled Official",">= 3","Registered","Yes","Good","Male","Single"
