Feature 1,Account.Balance,Duration.of.Credit..month.,Payment.Status.of.Previous.Credit,Purpose,Credit.Amount,Value.Savings.Stocks,Length.of.current.employment,Instalment.per.cent,Guarantors,Duration.in.Current.address,Most.valuable.available.asset,Age..years.,Concurrent.Credits,Type.of.apartment,No.of.Credits.at.this.Bank,Occupation,No.of.dependents,Telephone,Foreign.Worker,Sex,Marital.Status,ID,Creditability,Naive Bayes,Naive Bayes (Bad),Naive Bayes (Good)
282.0,0 <= ... < 200 EU,12.0,Existing Paid,Radio/Television,1158.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,25% - 35%,None,< 1 Year,Car or Other,26.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Male,Divorced/Separated/Married,432.0,Good,Good,0.10946269353723012,0.8905373064627699
394.0,< 0 EU,24.0,Existing Paid,Radio/Television,1823.0,< 100 EU,Unemployed,> 35%,None,1 - 4 Years,Car or Other,30.0,Stores,Own,1,Highly Qualified,>= 3,None,Yes,Male,Single,544.0,Bad,Bad,0.6276831283350499,0.3723168716649502
629.0,< 0 EU,9.0,Critical Account,Car(New),2799.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Real Estate,36.0,None,Rent,2 or 3,Skilled Official,>= 3,None,Yes,Male,Single,779.0,Good,Good,0.12387754938153968,0.8761224506184603
609.0,0 <= ... < 200 EU,48.0,Existing Paid,Business,15672.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,23.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Male,Single,759.0,Bad,Bad,0.6477012273711302,0.3522987726288698
706.0,< 0 EU,13.0,Critical Account,Business,1797.0,< 100 EU,< 1 Year,25% - 35%,None,< 1 Year,Savings Agreement/Life Insurance,28.0,Bank,Own,2 or 3,Unskilled Resident,< 3,None,Yes,Male,Single,856.0,Good,Good,0.3980159059743419,0.6019840940256581
755.0,< 0 EU,24.0,Existing Paid,Car(Used),2910.0,< 100 EU,4 <= ... < 7 Years,20% - 25%,None,< 1 Year,Unknown,34.0,None,For Free,1,Highly Qualified,< 3,Registered,Yes,Male,Single,905.0,Good,Good,0.3496199585653274,0.6503800414346725
55.0,>= 200 EU,36.0,Existing Paid,Radio/Television,5848.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,< 1 Year,Car or Other,24.0,None,Own,1,Skilled Official,< 3,None,Yes,Male,Single,205.0,Good,Good,0.30697995950664264,0.6930200404933573
751.0,0 <= ... < 200 EU,9.0,Critical Account,Radio/Television,1154.0,< 100 EU,>= 7 Years,20% - 25%,None,> 7 Years,Real Estate,37.0,None,Own,4 or 5,Unskilled Resident,< 3,None,Yes,Male,Single,901.0,Good,Good,0.009790941086341641,0.9902090589136583
156.0,No Account,21.0,Existing Paid,Car(Used),5248.0,Unknown,1 <= ... < 4 Years,< 20%,None,4 - 7 Years,Car or Other,26.0,None,Own,1,Skilled Official,< 3,None,Yes,Male,Single,306.0,Good,Good,0.05382705508023625,0.9461729449197638
433.0,< 0 EU,18.0,All Paid,Car(New),1442.0,< 100 EU,4 <= ... < 7 Years,> 35%,None,> 7 Years,Unknown,32.0,Bank,For Free,2 or 3,Unskilled Resident,>= 3,None,Yes,Male,Single,583.0,Bad,Bad,0.9810897484019653,0.018910251598034774
98.0,< 0 EU,36.0,Existing Paid,Education,1977.0,Unknown,>= 7 Years,> 35%,None,> 7 Years,Unknown,40.0,None,Own,1,Highly Qualified,< 3,Registered,Yes,Male,Single,248.0,Bad,Bad,0.6149502956034635,0.38504970439653646
121.0,< 0 EU,12.0,Existing Paid,Furniture/Equipment,1657.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Real Estate,27.0,None,Own,1,Skilled Official,< 3,None,Yes,Male,Single,271.0,Good,Good,0.15218645255066215,0.8478135474493379
77.0,0 <= ... < 200 EU,9.0,Critical Account,Education,1136.0,>= 1000 EU,>= 7 Years,> 35%,None,4 - 7 Years,Unknown,32.0,None,For Free,2 or 3,Skilled Official,>= 3,None,Yes,Male,Single,227.0,Bad,Good,0.33529243470729353,0.6647075652927065
205.0,No Account,9.0,Critical Account,Car(New),1224.0,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,< 1 Year,Real Estate,30.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Male,Single,355.0,Good,Good,0.010999457503745445,0.9890005424962546
353.0,0 <= ... < 200 EU,30.0,None Taken,Business,4280.0,100 <= ... < 500 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Car or Other,26.0,None,Rent,2 or 3,Unskilled Resident,< 3,None,Yes,Female,Divorced/Separated/Married,503.0,Bad,Bad,0.9736328185326566,0.026367181467343275
765.0,No Account,12.0,Critical Account,Radio/Television,1655.0,< 100 EU,>= 7 Years,20% - 25%,None,> 7 Years,Real Estate,63.0,None,Own,2 or 3,Unskilled Resident,< 3,Registered,Yes,Male,Single,915.0,Good,Good,0.0032030620993153264,0.9967969379006847
209.0,< 0 EU,36.0,Critical Account,Furniture/Equipment,2348.0,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,46.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Male,Divorced/Separated/Married,359.0,Good,Good,0.41754387599633075,0.5824561240036692
368.0,< 0 EU,27.0,None Taken,Business,5293.0,< 100 EU,Unemployed,20% - 25%,None,> 7 Years,Savings Agreement/Life Insurance,50.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Male,Single,518.0,Bad,Bad,0.9014723988442653,0.09852760115573463
426.0,< 0 EU,9.0,Existing Paid,Radio/Television,1364.0,< 100 EU,4 <= ... < 7 Years,25% - 35%,None,> 7 Years,Real Estate,59.0,None,Own,1,Skilled Official,< 3,None,Yes,Male,Single,576.0,Good,Good,0.0537484848828987,0.9462515151171014
516.0,No Account,18.0,Critical Account,Radio/Television,1169.0,Unknown,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,29.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Male,Single,666.0,Good,Good,0.018956743301390713,0.9810432566986093
85.0,No Account,12.0,Existing Paid,Radio/Television,2279.0,Unknown,1 <= ... < 4 Years,> 35%,None,> 7 Years,Unknown,37.0,None,For Free,1,Skilled Official,< 3,Registered,Yes,Male,Single,235.0,Good,Good,0.04006758432441087,0.9599324156755891
11.0,0 <= ... < 200 EU,27.0,None Taken,Business,8318.0,< 100 EU,>= 7 Years,20% - 25%,None,> 7 Years,Unknown,42.0,Stores,For Free,2 or 3,Highly Qualified,< 3,Registered,Yes,Female,Divorced/Separated/Married,161.0,Bad,Bad,0.9823418786609588,0.017658121339041197
721.0,No Account,24.0,Existing Paid,Radio/Television,999.0,Unknown,>= 7 Years,> 35%,None,1 - 4 Years,Car or Other,25.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Male,Single,871.0,Good,Good,0.02740064953014188,0.9725993504698581
111.0,No Account,24.0,Existing Paid,Car(Used),2679.0,< 100 EU,< 1 Year,> 35%,None,< 1 Year,Unknown,29.0,None,Own,1,Highly Qualified,< 3,Registered,Yes,Female,Divorced/Separated/Married,261.0,Good,Good,0.21860118854788435,0.7813988114521156
522.0,>= 200 EU,18.0,Existing Paid,Car(New),1961.0,< 100 EU,>= 7 Years,25% - 35%,None,1 - 4 Years,Car or Other,23.0,None,Own,1,Highly Qualified,< 3,None,Yes,Female,Divorced/Separated/Married,672.0,Good,Bad,0.6389188351379462,0.3610811648620538
778.0,0 <= ... < 200 EU,54.0,None Taken,Business,15945.0,< 100 EU,< 1 Year,25% - 35%,None,> 7 Years,Unknown,58.0,None,Rent,1,Skilled Official,< 3,Registered,Yes,Male,Single,928.0,Bad,Bad,0.9711213653108667,0.028878634689133285
210.0,< 0 EU,18.0,Existing Paid,Car(Used),7511.0,Unknown,>= 7 Years,< 20%,None,> 7 Years,Savings Agreement/Life Insurance,51.0,None,For Free,1,Skilled Official,>= 3,Registered,Yes,Male,Single,360.0,Bad,Good,0.40595970043274493,0.594040299567255
236.0,0 <= ... < 200 EU,30.0,Critical Account,Car(New),2181.0,Unknown,>= 7 Years,> 35%,None,> 7 Years,Real Estate,36.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Male,Single,386.0,Good,Good,0.0939016886315596,0.9060983113684404
317.0,0 <= ... < 200 EU,18.0,Existing Paid,Car(New),5866.0,100 <= ... < 500 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,30.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Male,Single,467.0,Good,Bad,0.51352179133515,0.4864782086648501
389.0,No Account,6.0,None Taken,Radio/Television,426.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,39.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Male,Divorced/Separated/Married,539.0,Good,Good,0.06290340715021052,0.9370965928497894
119.0,No Account,18.0,Existing Paid,Radio/Television,433.0,< 100 EU,Unemployed,25% - 35%,Co-Applicant,> 7 Years,Real Estate,22.0,None,Rent,1,Skilled Official,< 3,None,Yes,Female,Divorced/Separated/Married,269.0,Bad,Good,0.38184390260043344,0.6181560973995666
720.0,No Account,15.0,Existing Paid,Radio/Television,1979.0,Unknown,>= 7 Years,> 35%,None,1 - 4 Years,Car or Other,35.0,None,Own,1,Skilled Official,< 3,None,Yes,Male,Single,870.0,Good,Good,0.008988409206548127,0.9910115907934519
211.0,No Account,15.0,Critical Account,Education,1532.0,100 <= ... < 500 EU,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Car or Other,31.0,None,Own,1,Skilled Official,< 3,None,Yes,Female,Divorced/Separated/Married,361.0,Good,Good,0.13223907511341867,0.8677609248865813
255.0,No Account,18.0,Existing Paid,Car(Used),3378.0,Unknown,1 <= ... < 4 Years,20% - 25%,None,< 1 Year,Savings Agreement/Life Insurance,31.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Male,Single,405.0,Good,Good,0.013222505373639382,0.9867774946263607
592.0,No Account,60.0,Existing Paid,Radio/Television,10144.0,100 <= ... < 500 EU,4 <= ... < 7 Years,20% - 25%,None,> 7 Years,Real Estate,21.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Female,Divorced/Separated/Married,742.0,Good,Good,0.12318372178941395,0.876816278210586
30.0,No Account,6.0,Existing Paid,Furniture/Equipment,1543.0,>= 1000 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Real Estate,33.0,None,Own,1,Skilled Official,< 3,None,Yes,Male,Divorced/Separated/Married,180.0,Good,Good,0.005957879560310012,0.99404212043969
267.0,< 0 EU,12.0,Delay Paid,Car(New),1344.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Real Estate,43.0,None,Own,2 or 3,Unskilled Resident,>= 3,None,Yes,Male,Single,417.0,Good,Good,0.2514932462917489,0.7485067537082511
657.0,No Account,6.0,Existing Paid,Radio/Television,518.0,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,< 1 Year,Real Estate,29.0,None,Own,1,Skilled Official,< 3,None,Yes,Female,Divorced/Separated/Married,807.0,Good,Good,0.012156486717194881,0.9878435132828051
663.0,0 <= ... < 200 EU,24.0,Existing Paid,Car(New),2718.0,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,> 7 Years,Savings Agreement/Life Insurance,20.0,None,Rent,1,Unskilled Resident,< 3,Registered,Yes,Female,Divorced/Separated/Married,813.0,Bad,Bad,0.7991244543660467,0.2008755456339533
297.0,0 <= ... < 200 EU,45.0,Existing Paid,Radio/Television,3031.0,100 <= ... < 500 EU,1 <= ... < 4 Years,> 35%,Guarantor,> 7 Years,Savings Agreement/Life Insurance,21.0,None,Rent,1,Skilled Official,< 3,None,Yes,Male,Single,447.0,Bad,Bad,0.5167907721819841,0.48320922781801595
82.0,No Account,10.0,Critical Account,Car(New),1231.0,< 100 EU,>= 7 Years,25% - 35%,None,> 7 Years,Real Estate,32.0,None,Own,2 or 3,Unskilled Resident,>= 3,None,No,Male,Single,232.0,Good,Good,0.00681640513416031,0.9931835948658397
689.0,No Account,10.0,Critical Account,Furniture/Equipment,2146.0,< 100 EU,< 1 Year,< 20%,None,4 - 7 Years,Real Estate,23.0,None,Rent,2 or 3,Skilled Official,< 3,None,Yes,Female,Divorced/Separated/Married,839.0,Good,Good,0.05517677278884222,0.9448232272111579
303.0,< 0 EU,18.0,Existing Paid,Appliances,1217.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Real Estate,47.0,None,Own,1,Unskilled Resident,< 3,Registered,Yes,Male,Divorced/Separated/Married,453.0,Bad,Bad,0.558451936425995,0.44154806357400506
507.0,No Account,15.0,Existing Paid,Furniture/Equipment,2708.0,< 100 EU,< 1 Year,20% - 25%,None,4 - 7 Years,Savings Agreement/Life Insurance,27.0,Bank,Own,2 or 3,Unskilled Resident,< 3,None,Yes,Male,Single,657.0,Good,Good,0.29480372308565356,0.7051962769143465
759.0,No Account,12.0,Existing Paid,Radio/Television,707.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Real Estate,30.0,Bank,Own,2 or 3,Skilled Official,< 3,None,Yes,Male,Single,909.0,Good,Good,0.04090263025117093,0.959097369748829
315.0,0 <= ... < 200 EU,9.0,Existing Paid,Radio/Television,1206.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Real Estate,25.0,None,Own,1,Skilled Official,< 3,None,Yes,Female,Divorced/Separated/Married,465.0,Good,Good,0.14163196217403032,0.8583680378259696
645.0,No Account,12.0,Existing Paid,Radio/Television,2141.0,100 <= ... < 500 EU,4 <= ... < 7 Years,25% - 35%,None,< 1 Year,Unknown,35.0,None,Own,1,Skilled Official,< 3,None,Yes,Male,Single,795.0,Good,Good,0.01877107686306054,0.9812289231369395
410.0,< 0 EU,12.0,Existing Paid,Furniture/Equipment,1289.0,< 100 EU,1 <= ... < 4 Years,> 35%,Guarantor,< 1 Year,Savings Agreement/Life Insurance,21.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Male,Single,560.0,Good,Good,0.3459978239728224,0.6540021760271776
212.0,0 <= ... < 200 EU,15.0,All Paid,Car(New),1264.0,100 <= ... < 500 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Savings Agreement/Life Insurance,25.0,None,Rent,1,Skilled Official,< 3,None,Yes,Male,Divorced/Separated/Married,362.0,Bad,Bad,0.8543960301018745,0.14560396989812552
533.0,0 <= ... < 200 EU,36.0,None Taken,Radio/Television,3804.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,< 1 Year,Car or Other,42.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Female,Divorced/Separated/Married,683.0,Bad,Bad,0.6772479964642274,0.32275200353577255
484.0,No Account,18.0,Existing Paid,Car(New),6761.0,Unknown,1 <= ... < 4 Years,20% - 25%,None,> 7 Years,Car or Other,68.0,Stores,Rent,2 or 3,Skilled Official,< 3,None,Yes,Male,Single,634.0,Bad,Good,0.3220872142614699,0.6779127857385301
219.0,0 <= ... < 200 EU,24.0,Critical Account,Radio/Television,1216.0,100 <= ... < 500 EU,< 1 Year,> 35%,None,> 7 Years,Unknown,38.0,Bank,Own,2 or 3,Skilled Official,>= 3,None,Yes,Male,Single,369.0,Bad,Bad,0.5841519050459743,0.41584809495402586
8.0,No Account,6.0,Delay Paid,Radio/Television,935.0,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Real Estate,24.0,None,Own,1,Skilled Official,< 3,None,Yes,Female,Divorced/Separated/Married,158.0,Good,Good,0.01945773209796967,0.9805422679020303
465.0,No Account,12.0,Existing Paid,Radio/Television,886.0,Unknown,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,21.0,None,Own,1,Skilled Official,< 3,None,Yes,Female,Divorced/Separated/Married,615.0,Good,Good,0.0682732502516531,0.931726749748347
102.0,0 <= ... < 200 EU,48.0,Existing Paid,Radio/Television,10961.0,>= 1000 EU,4 <= ... < 7 Years,< 20%,Co-Applicant,1 - 4 Years,Unknown,27.0,Bank,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Male,Single,252.0,Bad,Bad,0.7028088564788383,0.29719114352116177
327.0,No Account,36.0,Existing Paid,Car(New),3079.0,Unknown,1 <= ... < 4 Years,> 35%,None,> 7 Years,Real Estate,36.0,None,Own,1,Skilled Official,< 3,None,Yes,Male,Single,477.0,Good,Good,0.055226204826368135,0.944773795173632
653.0,No Account,18.0,Existing Paid,Radio/Television,1126.0,Unknown,< 1 Year,> 35%,None,1 - 4 Years,Real Estate,21.0,None,Rent,1,Skilled Official,< 3,Registered,Yes,Female,Divorced/Separated/Married,803.0,Good,Good,0.07959634572183727,0.9204036542781627
538.0,>= 200 EU,12.0,Existing Paid,Radio/Television,1881.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,44.0,None,Rent,1,Unskilled Resident,< 3,Registered,Yes,Female,Divorced/Separated/Married,688.0,Good,Good,0.21222490678528189,0.7877750932147182
641.0,< 0 EU,12.0,Existing Paid,Car(New),1893.0,< 100 EU,1 <= ... < 4 Years,> 35%,Guarantor,> 7 Years,Savings Agreement/Life Insurance,29.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Female,Divorced/Separated/Married,791.0,Good,Good,0.42602634552780466,0.5739736544721954
3.0,< 0 EU,18.0,Existing Paid,Radio/Television,1345.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Real Estate,26.0,None,Own,1,Skilled Official,< 3,None,Yes,Male,Divorced/Separated/Married,153.0,Bad,Good,0.2602395828310446,0.7397604171689554
739.0,< 0 EU,30.0,None Taken,Business,8072.0,Unknown,< 1 Year,20% - 25%,None,4 - 7 Years,Car or Other,25.0,Bank,Own,4 or 5,Skilled Official,< 3,None,Yes,Male,Single,889.0,Good,Bad,0.9320387254357757,0.06796127456422427
777.0,< 0 EU,36.0,Existing Paid,Other,15857.0,< 100 EU,Unemployed,20% - 25%,Co-Applicant,4 - 7 Years,Car or Other,43.0,None,Own,1,Highly Qualified,< 3,None,Yes,Male,Divorced/Separated/Married,927.0,Good,Bad,0.9389483064644377,0.06105169353556221
520.0,No Account,60.0,Existing Paid,Car(New),6527.0,Unknown,1 <= ... < 4 Years,> 35%,None,> 7 Years,Unknown,34.0,None,For Free,1,Skilled Official,>= 3,Registered,Yes,Male,Single,670.0,Good,Bad,0.5848298918496632,0.41517010815033684
590.0,No Account,18.0,Delay Paid,Furniture/Equipment,1808.0,< 100 EU,4 <= ... < 7 Years,> 35%,None,< 1 Year,Real Estate,22.0,None,Own,1,Skilled Official,< 3,None,Yes,Female,Divorced/Separated/Married,740.0,Bad,Good,0.07577587704717706,0.924224122952823
799.0,No Account,12.0,Critical Account,Radio/Television,797.0,Unknown,>= 7 Years,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,33.0,None,Own,1,Unskilled Resident,>= 3,None,Yes,Female,Divorced/Separated/Married,949.0,Bad,Good,0.01627693175045691,0.9837230682495431
745.0,No Account,54.0,None Taken,Car(Used),9436.0,Unknown,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Savings Agreement/Life Insurance,39.0,None,Own,1,Unskilled Resident,>= 3,None,Yes,Male,Single,895.0,Good,Good,0.12638012432463216,0.8736198756753678
514.0,No Account,5.0,Existing Paid,Business,3448.0,< 100 EU,4 <= ... < 7 Years,< 20%,None,> 7 Years,Real Estate,74.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Male,Single,664.0,Good,Good,0.01747791391012689,0.9825220860898731
671.0,< 0 EU,24.0,All Paid,Car(Used),3632.0,< 100 EU,1 <= ... < 4 Years,< 20%,Guarantor,> 7 Years,Car or Other,22.0,Bank,Rent,1,Skilled Official,< 3,None,No,Female,Divorced/Separated/Married,821.0,Good,Bad,0.8046923638370614,0.19530763616293864
265.0,< 0 EU,21.0,Existing Paid,Furniture/Equipment,3599.0,< 100 EU,4 <= ... < 7 Years,< 20%,None,> 7 Years,Car or Other,26.0,None,Rent,1,Unskilled Resident,< 3,None,Yes,Female,Divorced/Separated/Married,415.0,Good,Bad,0.802725046918082,0.19727495308191792
616.0,No Account,6.0,All Paid,Car(New),783.0,Unknown,1 <= ... < 4 Years,< 20%,Guarantor,1 - 4 Years,Real Estate,26.0,Stores,Own,1,Unskilled Resident,>= 3,None,Yes,Male,Single,766.0,Good,Good,0.035870358537641985,0.964129641462358
330.0,No Account,39.0,Existing Paid,Car(Used),8588.0,100 <= ... < 500 EU,>= 7 Years,> 35%,None,1 - 4 Years,Car or Other,45.0,None,Own,1,Highly Qualified,< 3,Registered,Yes,Male,Single,480.0,Good,Good,0.11492837171244692,0.885071628287553
343.0,0 <= ... < 200 EU,18.0,Existing Paid,Business,2622.0,100 <= ... < 500 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Car or Other,34.0,None,Own,1,Skilled Official,< 3,None,Yes,Male,Single,493.0,Good,Good,0.3936999716807322,0.6063000283192679
395.0,0 <= ... < 200 EU,27.0,Existing Paid,Business,3915.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,36.0,None,Own,1,Skilled Official,>= 3,Registered,Yes,Male,Single,545.0,Bad,Bad,0.6102399077681495,0.38976009223185043
80.0,0 <= ... < 200 EU,30.0,Critical Account,Car(New),5234.0,< 100 EU,Unemployed,> 35%,None,1 - 4 Years,Car or Other,28.0,None,Own,2 or 3,Highly Qualified,< 3,None,Yes,Male,Divorced/Separated/Married,230.0,Bad,Bad,0.7556875571708256,0.24431244282917444
149.0,< 0 EU,30.0,Critical Account,Car(Used),6187.0,100 <= ... < 500 EU,4 <= ... < 7 Years,< 20%,None,> 7 Years,Car or Other,24.0,None,Rent,2 or 3,Skilled Official,< 3,None,Yes,Male,Divorced/Separated/Married,299.0,Good,Bad,0.5112189250075441,0.4887810749924559
351.0,No Account,24.0,Existing Paid,Furniture/Equipment,929.0,Unknown,4 <= ... < 7 Years,> 35%,None,1 - 4 Years,Car or Other,31.0,Stores,Own,1,Skilled Official,< 3,Registered,Yes,Male,Single,501.0,Good,Good,0.050983162685649557,0.9490168373143504
383.0,< 0 EU,12.0,Existing Paid,Car(Used),3386.0,< 100 EU,>= 7 Years,25% - 35%,None,> 7 Years,Unknown,35.0,None,For Free,1,Skilled Official,< 3,Registered,Yes,Male,Single,533.0,Bad,Good,0.45765866528319576,0.5423413347168042
441.0,0 <= ... < 200 EU,12.0,Existing Paid,Radio/Television,1331.0,< 100 EU,< 1 Year,20% - 25%,None,< 1 Year,Car or Other,22.0,None,Own,1,Skilled Official,< 3,None,Yes,Male,Single,591.0,Bad,Good,0.2998577955100224,0.7001422044899777
310.0,0 <= ... < 200 EU,30.0,Delay Paid,Business,2503.0,100 <= ... < 500 EU,>= 7 Years,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,41.0,Stores,Own,2 or 3,Skilled Official,< 3,None,Yes,Male,Single,460.0,Good,Good,0.4997117253942,0.5002882746058
708.0,< 0 EU,12.0,Existing Paid,Furniture/Equipment,1620.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,Co-Applicant,4 - 7 Years,Savings Agreement/Life Insurance,30.0,None,Own,1,Skilled Official,< 3,None,Yes,Female,Divorced/Separated/Married,858.0,Good,Bad,0.6865313112806362,0.3134686887193638
134.0,No Account,24.0,Delay Paid,Business,2375.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,44.0,None,Own,2 or 3,Skilled Official,>= 3,Registered,Yes,Male,Single,284.0,Good,Good,0.045475551707106966,0.954524448292893
382.0,No Account,18.0,Critical Account,Car(Used),3229.0,Unknown,Unemployed,20% - 25%,None,> 7 Years,Unknown,38.0,None,Own,1,Highly Qualified,< 3,Registered,Yes,Male,Single,532.0,Good,Good,0.026160810268005583,0.9738391897319943
214.0,No Account,12.0,Critical Account,Car(New),682.0,100 <= ... < 500 EU,4 <= ... < 7 Years,> 35%,None,4 - 7 Years,Car or Other,51.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Female,Divorced/Separated/Married,364.0,Good,Good,0.05528824263569911,0.9447117573643009
660.0,No Account,48.0,Critical Account,Education,6110.0,< 100 EU,1 <= ... < 4 Years,< 20%,None,4 - 7 Years,Unknown,31.0,Bank,For Free,1,Skilled Official,< 3,Registered,Yes,Male,Single,810.0,Good,Bad,0.7411362302539134,0.2588637697460866
56.0,0 <= ... < 200 EU,12.0,Existing Paid,Car(New),6078.0,< 100 EU,4 <= ... < 7 Years,20% - 25%,None,1 - 4 Years,Car or Other,32.0,None,Own,1,Skilled Official,< 3,None,Yes,Male,Single,206.0,Good,Good,0.4120390577374954,0.5879609422625046
737.0,0 <= ... < 200 EU,12.0,Critical Account,Car(New),2366.0,500 <= ... < 1000 EU,4 <= ... < 7 Years,25% - 35%,None,4 - 7 Years,Car or Other,36.0,None,Own,1,Highly Qualified,< 3,Registered,Yes,Male,Divorced/Separated/Married,887.0,Good,Good,0.10017450244616473,0.8998254975538352
621.0,0 <= ... < 200 EU,36.0,Existing Paid,Car(Used),9398.0,< 100 EU,< 1 Year,< 20%,None,> 7 Years,Car or Other,28.0,None,Rent,1,Highly Qualified,< 3,Registered,Yes,Male,Divorced/Separated/Married,771.0,Bad,Bad,0.7942189375665075,0.2057810624334925
583.0,No Account,42.0,Critical Account,Furniture/Equipment,4041.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Real Estate,36.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Male,Single,733.0,Good,Good,0.0195522684310606,0.9804477315689395
674.0,< 0 EU,36.0,Existing Paid,Furniture/Equipment,2712.0,< 100 EU,>= 7 Years,20% - 25%,None,1 - 4 Years,Savings Agreement/Life Insurance,41.0,Bank,Own,1,Skilled Official,>= 3,None,Yes,Male,Single,824.0,Bad,Bad,0.7136871541734828,0.28631284582651717
528.0,No Account,24.0,Existing Paid,Furniture/Equipment,2835.0,500 <= ... < 1000 EU,>= 7 Years,25% - 35%,None,> 7 Years,Savings Agreement/Life Insurance,53.0,None,Own,1,Skilled Official,< 3,None,Yes,Male,Single,678.0,Good,Good,0.07080181523231314,0.9291981847676869
197.0,No Account,36.0,Existing Paid,Radio/Television,3595.0,< 100 EU,>= 7 Years,> 35%,None,1 - 4 Years,Car or Other,28.0,None,Own,1,Skilled Official,< 3,None,Yes,Male,Single,347.0,Good,Good,0.10567385147718943,0.8943261485228106
714.0,No Account,18.0,Critical Account,Radio/Television,629.0,500 <= ... < 1000 EU,>= 7 Years,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,32.0,Bank,Own,2 or 3,Highly Qualified,< 3,Registered,Yes,Male,Single,864.0,Good,Good,0.03561432792737391,0.964385672072626
690.0,0 <= ... < 200 EU,6.0,Delay Paid,Furniture/Equipment,1050.0,< 100 EU,Unemployed,> 35%,None,< 1 Year,Savings Agreement/Life Insurance,35.0,Stores,Own,2 or 3,Highly Qualified,< 3,Registered,No,Male,Single,840.0,Good,Good,0.06919884777170855,0.9308011522282915
61.0,No Account,12.0,Critical Account,Radio/Television,1240.0,Unknown,>= 7 Years,> 35%,None,1 - 4 Years,Real Estate,38.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Female,Divorced/Separated/Married,211.0,Good,Good,0.004008537416677149,0.9959914625833229
577.0,No Account,36.0,Existing Paid,Business,7409.0,Unknown,>= 7 Years,25% - 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,37.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Male,Single,727.0,Good,Good,0.16992674033001923,0.8300732596699808
