Sex,Account.Balance,Duration.of.Credit..month.,Payment.Status.of.Previous.Credit,Purpose,Credit.Amount,Value.Savings.Stocks,Length.of.current.employment,Instalment.per.cent,Guarantors,Duration.in.Current.address,Most.valuable.available.asset,Age..years.,Concurrent.Credits,Type.of.apartment,No.of.Credits.at.this.Bank,Occupation,No.of.dependents,Telephone,Foreign.Worker,Marital.Status,Creditability,Logistic Regression,Logistic Regression (Bad),Logistic Regression (Good)
Male,< 0 EU,24.0,Existing Paid,Car(Used),2910.0,< 100 EU,4 <= ... < 7 Years,20% - 25%,None,< 1 Year,Unknown,34.0,None,For Free,1,Highly Qualified,< 3,Registered,Yes,Single,Good,Good,0.07006113313238971,0.9299388668676103
Male,>= 200 EU,36.0,Existing Paid,Radio/Television,5848.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,< 1 Year,Car or Other,24.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.29121398989875313,0.7087860101012469
Male,0 <= ... < 200 EU,9.0,Critical Account,Radio/Television,1154.0,< 100 EU,>= 7 Years,20% - 25%,None,> 7 Years,Real Estate,37.0,None,Own,4 or 5,Unskilled Resident,< 3,None,Yes,Single,Good,Good,0.0707952377657931,0.9292047622342069
Male,No Account,21.0,Existing Paid,Car(Used),5248.0,Unknown,1 <= ... < 4 Years,< 20%,None,4 - 7 Years,Car or Other,26.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.02858674562244634,0.9714132543775537
Male,< 0 EU,18.0,All Paid,Car(New),1442.0,< 100 EU,4 <= ... < 7 Years,> 35%,None,> 7 Years,Unknown,32.0,Bank,For Free,2 or 3,Unskilled Resident,>= 3,None,Yes,Single,Bad,Bad,0.907792027350041,0.09220797264995899
Male,< 0 EU,36.0,Existing Paid,Education,1977.0,Unknown,>= 7 Years,> 35%,None,> 7 Years,Unknown,40.0,None,Own,1,Highly Qualified,< 3,Registered,Yes,Single,Bad,Good,0.4946051502800479,0.5053948497199521
Male,< 0 EU,12.0,Existing Paid,Furniture/Equipment,1657.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Real Estate,27.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.21619087435357764,0.7838091256464224
Male,0 <= ... < 200 EU,9.0,Critical Account,Education,1136.0,>= 1000 EU,>= 7 Years,> 35%,None,4 - 7 Years,Unknown,32.0,None,For Free,2 or 3,Skilled Official,>= 3,None,Yes,Single,Bad,Bad,0.5454093425573701,0.45459065744262994
Male,No Account,9.0,Critical Account,Car(New),1224.0,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,< 1 Year,Real Estate,30.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Single,Good,Good,0.04728225779107387,0.9527177422089261
Female,0 <= ... < 200 EU,30.0,None Taken,Business,4280.0,100 <= ... < 500 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Car or Other,26.0,None,Rent,2 or 3,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.8100218321816807,0.18997816781831933
Male,No Account,12.0,Critical Account,Radio/Television,1655.0,< 100 EU,>= 7 Years,20% - 25%,None,> 7 Years,Real Estate,63.0,None,Own,2 or 3,Unskilled Resident,< 3,Registered,Yes,Single,Good,Good,0.012240384658145254,0.9877596153418547
Male,< 0 EU,36.0,Critical Account,Furniture/Equipment,2348.0,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,46.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.29109078307623737,0.7089092169237626
Male,< 0 EU,27.0,None Taken,Business,5293.0,< 100 EU,Unemployed,20% - 25%,None,> 7 Years,Savings Agreement/Life Insurance,50.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Single,Bad,Good,0.4387855144160381,0.5612144855839619
Male,< 0 EU,9.0,Existing Paid,Radio/Television,1364.0,< 100 EU,4 <= ... < 7 Years,25% - 35%,None,> 7 Years,Real Estate,59.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.13662937149955556,0.8633706285004444
Male,No Account,18.0,Critical Account,Radio/Television,1169.0,Unknown,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,29.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.024607482364657485,0.9753925176353425
Male,No Account,12.0,Existing Paid,Radio/Television,2279.0,Unknown,1 <= ... < 4 Years,> 35%,None,> 7 Years,Unknown,37.0,None,For Free,1,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.03955251555060135,0.9604474844493986
Female,0 <= ... < 200 EU,27.0,None Taken,Business,8318.0,< 100 EU,>= 7 Years,20% - 25%,None,> 7 Years,Unknown,42.0,Stores,For Free,2 or 3,Highly Qualified,< 3,Registered,Yes,Divorced/Separated/Married,Bad,Bad,0.7861856649653034,0.21381433503469666
Male,No Account,24.0,Existing Paid,Radio/Television,999.0,Unknown,>= 7 Years,> 35%,None,1 - 4 Years,Car or Other,25.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Single,Good,Good,0.16827540896204374,0.8317245910379563
Female,No Account,24.0,Existing Paid,Car(Used),2679.0,< 100 EU,< 1 Year,> 35%,None,< 1 Year,Unknown,29.0,None,Own,1,Highly Qualified,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.10511885020112022,0.8948811497988798
Female,>= 200 EU,18.0,Existing Paid,Car(New),1961.0,< 100 EU,>= 7 Years,25% - 35%,None,1 - 4 Years,Car or Other,23.0,None,Own,1,Highly Qualified,< 3,None,Yes,Divorced/Separated/Married,Good,Bad,0.6945940164080159,0.3054059835919841
Male,0 <= ... < 200 EU,54.0,None Taken,Business,15945.0,< 100 EU,< 1 Year,25% - 35%,None,> 7 Years,Unknown,58.0,None,Rent,1,Skilled Official,< 3,Registered,Yes,Single,Bad,Bad,0.9420087613995959,0.057991238600404116
Male,< 0 EU,18.0,Existing Paid,Car(Used),7511.0,Unknown,>= 7 Years,< 20%,None,> 7 Years,Savings Agreement/Life Insurance,51.0,None,For Free,1,Skilled Official,>= 3,Registered,Yes,Single,Bad,Good,0.11506904615780555,0.8849309538421944
Male,0 <= ... < 200 EU,30.0,Critical Account,Car(New),2181.0,Unknown,>= 7 Years,> 35%,None,> 7 Years,Real Estate,36.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Single,Good,Good,0.23815455596113333,0.7618454440388667
Male,0 <= ... < 200 EU,18.0,Existing Paid,Car(New),5866.0,100 <= ... < 500 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,30.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.4959363069101691,0.5040636930898309
Male,No Account,6.0,None Taken,Radio/Television,426.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,39.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.10138280606530459,0.8986171939346954
Female,No Account,18.0,Existing Paid,Radio/Television,433.0,< 100 EU,Unemployed,25% - 35%,Co-Applicant,> 7 Years,Real Estate,22.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Good,0.305375110211599,0.694624889788401
Male,No Account,15.0,Existing Paid,Radio/Television,1979.0,Unknown,>= 7 Years,> 35%,None,1 - 4 Years,Car or Other,35.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.08130893633664082,0.9186910636633592
Female,No Account,15.0,Critical Account,Education,1532.0,100 <= ... < 500 EU,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Car or Other,31.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.11402271536411013,0.8859772846358899
Male,No Account,18.0,Existing Paid,Car(Used),3378.0,Unknown,1 <= ... < 4 Years,20% - 25%,None,< 1 Year,Savings Agreement/Life Insurance,31.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.005684445697012319,0.9943155543029877
Female,No Account,60.0,Existing Paid,Radio/Television,10144.0,100 <= ... < 500 EU,4 <= ... < 7 Years,20% - 25%,None,> 7 Years,Real Estate,21.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.14520729759866602,0.854792702401334
Male,No Account,6.0,Existing Paid,Furniture/Equipment,1543.0,>= 1000 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Real Estate,33.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.02894399908453338,0.9710560009154666
Male,< 0 EU,12.0,Delay Paid,Car(New),1344.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Real Estate,43.0,None,Own,2 or 3,Unskilled Resident,>= 3,None,Yes,Single,Good,Bad,0.5302691684144858,0.4697308315855142
Female,No Account,6.0,Existing Paid,Radio/Television,518.0,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,< 1 Year,Real Estate,29.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.056862979754323084,0.9431370202456769
Female,0 <= ... < 200 EU,24.0,Existing Paid,Car(New),2718.0,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,> 7 Years,Savings Agreement/Life Insurance,20.0,None,Rent,1,Unskilled Resident,< 3,Registered,Yes,Divorced/Separated/Married,Bad,Bad,0.745559795957973,0.2544402040420271
Male,0 <= ... < 200 EU,45.0,Existing Paid,Radio/Television,3031.0,100 <= ... < 500 EU,1 <= ... < 4 Years,> 35%,Guarantor,> 7 Years,Savings Agreement/Life Insurance,21.0,None,Rent,1,Skilled Official,< 3,None,Yes,Single,Bad,Good,0.4099806312057408,0.5900193687942592
Male,No Account,10.0,Critical Account,Car(New),1231.0,< 100 EU,>= 7 Years,25% - 35%,None,> 7 Years,Real Estate,32.0,None,Own,2 or 3,Unskilled Resident,>= 3,None,No,Single,Good,Good,0.08748870371841333,0.9125112962815867
Female,No Account,10.0,Critical Account,Furniture/Equipment,2146.0,< 100 EU,< 1 Year,< 20%,None,4 - 7 Years,Real Estate,23.0,None,Rent,2 or 3,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.1481506659232702,0.8518493340767298
Male,< 0 EU,18.0,Existing Paid,Appliances,1217.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Real Estate,47.0,None,Own,1,Unskilled Resident,< 3,Registered,Yes,Divorced/Separated/Married,Bad,Good,0.3263057239948667,0.6736942760051333
Male,No Account,15.0,Existing Paid,Furniture/Equipment,2708.0,< 100 EU,< 1 Year,20% - 25%,None,4 - 7 Years,Savings Agreement/Life Insurance,27.0,Bank,Own,2 or 3,Unskilled Resident,< 3,None,Yes,Single,Good,Good,0.3062190340029084,0.6937809659970916
Male,No Account,12.0,Existing Paid,Radio/Television,707.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Real Estate,30.0,Bank,Own,2 or 3,Skilled Official,< 3,None,Yes,Single,Good,Good,0.2051448039248045,0.7948551960751955
Female,0 <= ... < 200 EU,9.0,Existing Paid,Radio/Television,1206.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Real Estate,25.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.40423092724268217,0.5957690727573178
Male,No Account,12.0,Existing Paid,Radio/Television,2141.0,100 <= ... < 500 EU,4 <= ... < 7 Years,25% - 35%,None,< 1 Year,Unknown,35.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.057346545468550336,0.9426534545314497
Male,< 0 EU,12.0,Existing Paid,Furniture/Equipment,1289.0,< 100 EU,1 <= ... < 4 Years,> 35%,Guarantor,< 1 Year,Savings Agreement/Life Insurance,21.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Single,Good,Good,0.10196314420852293,0.8980368557914771
Male,0 <= ... < 200 EU,15.0,All Paid,Car(New),1264.0,100 <= ... < 500 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Savings Agreement/Life Insurance,25.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.6332618930514362,0.36673810694856374
Female,0 <= ... < 200 EU,36.0,None Taken,Radio/Television,3804.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,< 1 Year,Car or Other,42.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Bad,Good,0.3648379023412679,0.6351620976587321
Male,No Account,18.0,Existing Paid,Car(New),6761.0,Unknown,1 <= ... < 4 Years,20% - 25%,None,> 7 Years,Car or Other,68.0,Stores,Rent,2 or 3,Skilled Official,< 3,None,Yes,Single,Bad,Good,0.18045395810007758,0.8195460418999224
Male,0 <= ... < 200 EU,24.0,Critical Account,Radio/Television,1216.0,100 <= ... < 500 EU,< 1 Year,> 35%,None,> 7 Years,Unknown,38.0,Bank,Own,2 or 3,Skilled Official,>= 3,None,Yes,Single,Bad,Bad,0.6465376374890881,0.35346236251091184
Female,No Account,6.0,Delay Paid,Radio/Television,935.0,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Real Estate,24.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.06571409352172564,0.9342859064782744
Female,No Account,12.0,Existing Paid,Radio/Television,886.0,Unknown,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,21.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.08855517944511337,0.9114448205548866
Male,0 <= ... < 200 EU,48.0,Existing Paid,Radio/Television,10961.0,>= 1000 EU,4 <= ... < 7 Years,< 20%,Co-Applicant,1 - 4 Years,Unknown,27.0,Bank,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Single,Bad,Bad,0.7007195997807728,0.2992804002192272
Male,No Account,36.0,Existing Paid,Car(New),3079.0,Unknown,1 <= ... < 4 Years,> 35%,None,> 7 Years,Real Estate,36.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.10125693279767445,0.8987430672023256
Female,No Account,18.0,Existing Paid,Radio/Television,1126.0,Unknown,< 1 Year,> 35%,None,1 - 4 Years,Real Estate,21.0,None,Rent,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.13903833146562639,0.8609616685343736
Female,>= 200 EU,12.0,Existing Paid,Radio/Television,1881.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,44.0,None,Rent,1,Unskilled Resident,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.22915294330532898,0.770847056694671
Female,< 0 EU,12.0,Existing Paid,Car(New),1893.0,< 100 EU,1 <= ... < 4 Years,> 35%,Guarantor,> 7 Years,Savings Agreement/Life Insurance,29.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.3323596062880606,0.6676403937119394
Male,< 0 EU,18.0,Existing Paid,Radio/Television,1345.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Real Estate,26.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Good,0.40310985726574444,0.5968901427342556
Male,< 0 EU,30.0,None Taken,Business,8072.0,Unknown,< 1 Year,20% - 25%,None,4 - 7 Years,Car or Other,25.0,Bank,Own,4 or 5,Skilled Official,< 3,None,Yes,Single,Good,Bad,0.7357668800615507,0.2642331199384494
Male,< 0 EU,36.0,Existing Paid,Other,15857.0,< 100 EU,Unemployed,20% - 25%,Co-Applicant,4 - 7 Years,Car or Other,43.0,None,Own,1,Highly Qualified,< 3,None,Yes,Divorced/Separated/Married,Good,Bad,0.7663861808892286,0.23361381911077142
Male,No Account,60.0,Existing Paid,Car(New),6527.0,Unknown,1 <= ... < 4 Years,> 35%,None,> 7 Years,Unknown,34.0,None,For Free,1,Skilled Official,>= 3,Registered,Yes,Single,Good,Good,0.45648935067841734,0.5435106493215827
Female,No Account,18.0,Delay Paid,Furniture/Equipment,1808.0,< 100 EU,4 <= ... < 7 Years,> 35%,None,< 1 Year,Real Estate,22.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Good,0.024475764945501077,0.9755242350544989
Female,No Account,12.0,Critical Account,Radio/Television,797.0,Unknown,>= 7 Years,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,33.0,None,Own,1,Unskilled Resident,>= 3,None,Yes,Divorced/Separated/Married,Bad,Good,0.07171930889559441,0.9282806911044056
Male,No Account,54.0,None Taken,Car(Used),9436.0,Unknown,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Savings Agreement/Life Insurance,39.0,None,Own,1,Unskilled Resident,>= 3,None,Yes,Single,Good,Good,0.1403763505574801,0.8596236494425199
Male,No Account,5.0,Existing Paid,Business,3448.0,< 100 EU,4 <= ... < 7 Years,< 20%,None,> 7 Years,Real Estate,74.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Single,Good,Good,0.013674343172368597,0.9863256568276314
Female,< 0 EU,24.0,All Paid,Car(Used),3632.0,< 100 EU,1 <= ... < 4 Years,< 20%,Guarantor,> 7 Years,Car or Other,22.0,Bank,Rent,1,Skilled Official,< 3,None,No,Divorced/Separated/Married,Good,Good,0.2563779842286613,0.7436220157713387
Female,< 0 EU,21.0,Existing Paid,Furniture/Equipment,3599.0,< 100 EU,4 <= ... < 7 Years,< 20%,None,> 7 Years,Car or Other,26.0,None,Rent,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.42396327706732895,0.576036722932671
Male,No Account,6.0,All Paid,Car(New),783.0,Unknown,1 <= ... < 4 Years,< 20%,Guarantor,1 - 4 Years,Real Estate,26.0,Stores,Own,1,Unskilled Resident,>= 3,None,Yes,Single,Good,Good,0.045097759948866445,0.9549022400511336
Male,No Account,39.0,Existing Paid,Car(Used),8588.0,100 <= ... < 500 EU,>= 7 Years,> 35%,None,1 - 4 Years,Car or Other,45.0,None,Own,1,Highly Qualified,< 3,Registered,Yes,Single,Good,Good,0.10853265525510014,0.8914673447448999
Male,0 <= ... < 200 EU,18.0,Existing Paid,Business,2622.0,100 <= ... < 500 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Car or Other,34.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.2876384578448703,0.7123615421551297
Male,0 <= ... < 200 EU,27.0,Existing Paid,Business,3915.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,36.0,None,Own,1,Skilled Official,>= 3,Registered,Yes,Single,Bad,Bad,0.553416487641178,0.446583512358822
Male,0 <= ... < 200 EU,30.0,Critical Account,Car(New),5234.0,< 100 EU,Unemployed,> 35%,None,1 - 4 Years,Car or Other,28.0,None,Own,2 or 3,Highly Qualified,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.5884023704773869,0.4115976295226132
Male,< 0 EU,30.0,Critical Account,Car(Used),6187.0,100 <= ... < 500 EU,4 <= ... < 7 Years,< 20%,None,> 7 Years,Car or Other,24.0,None,Rent,2 or 3,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.15299380629633652,0.8470061937036635
Male,No Account,24.0,Existing Paid,Furniture/Equipment,929.0,Unknown,4 <= ... < 7 Years,> 35%,None,1 - 4 Years,Car or Other,31.0,Stores,Own,1,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.031819475523891305,0.9681805244761087
Male,< 0 EU,12.0,Existing Paid,Car(Used),3386.0,< 100 EU,>= 7 Years,25% - 35%,None,> 7 Years,Unknown,35.0,None,For Free,1,Skilled Official,< 3,Registered,Yes,Single,Bad,Good,0.33019727691891354,0.6698027230810865
Male,0 <= ... < 200 EU,12.0,Existing Paid,Radio/Television,1331.0,< 100 EU,< 1 Year,20% - 25%,None,< 1 Year,Car or Other,22.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Bad,Good,0.19753742715022882,0.8024625728497712
Male,0 <= ... < 200 EU,30.0,Delay Paid,Business,2503.0,100 <= ... < 500 EU,>= 7 Years,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,41.0,Stores,Own,2 or 3,Skilled Official,< 3,None,Yes,Single,Good,Bad,0.5144764568681903,0.4855235431318096
Female,< 0 EU,12.0,Existing Paid,Furniture/Equipment,1620.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,Co-Applicant,4 - 7 Years,Savings Agreement/Life Insurance,30.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Bad,0.5032322427587603,0.4967677572412396
Male,No Account,24.0,Delay Paid,Business,2375.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,44.0,None,Own,2 or 3,Skilled Official,>= 3,Registered,Yes,Single,Good,Good,0.1104990057803118,0.8895009942196882
Male,No Account,18.0,Critical Account,Car(Used),3229.0,Unknown,Unemployed,20% - 25%,None,> 7 Years,Unknown,38.0,None,Own,1,Highly Qualified,< 3,Registered,Yes,Single,Good,Good,0.004671667266118784,0.9953283327338812
Female,No Account,12.0,Critical Account,Car(New),682.0,100 <= ... < 500 EU,4 <= ... < 7 Years,> 35%,None,4 - 7 Years,Car or Other,51.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.06474224595745615,0.9352577540425439
Male,No Account,48.0,Critical Account,Education,6110.0,< 100 EU,1 <= ... < 4 Years,< 20%,None,4 - 7 Years,Unknown,31.0,Bank,For Free,1,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.25964720302184485,0.7403527969781551
Male,0 <= ... < 200 EU,12.0,Existing Paid,Car(New),6078.0,< 100 EU,4 <= ... < 7 Years,20% - 25%,None,1 - 4 Years,Car or Other,32.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.40841881551104275,0.5915811844889572
Male,0 <= ... < 200 EU,12.0,Critical Account,Car(New),2366.0,500 <= ... < 1000 EU,4 <= ... < 7 Years,25% - 35%,None,4 - 7 Years,Car or Other,36.0,None,Own,1,Highly Qualified,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.10932088888211278,0.8906791111178872
Male,0 <= ... < 200 EU,36.0,Existing Paid,Car(Used),9398.0,< 100 EU,< 1 Year,< 20%,None,> 7 Years,Car or Other,28.0,None,Rent,1,Highly Qualified,< 3,Registered,Yes,Divorced/Separated/Married,Bad,Good,0.3922243300330277,0.6077756699669723
Male,No Account,42.0,Critical Account,Furniture/Equipment,4041.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Real Estate,36.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.03687492502765699,0.963125074972343
Male,< 0 EU,36.0,Existing Paid,Furniture/Equipment,2712.0,< 100 EU,>= 7 Years,20% - 25%,None,1 - 4 Years,Savings Agreement/Life Insurance,41.0,Bank,Own,1,Skilled Official,>= 3,None,Yes,Single,Bad,Bad,0.7596494180853576,0.2403505819146424
Male,No Account,24.0,Existing Paid,Furniture/Equipment,2835.0,500 <= ... < 1000 EU,>= 7 Years,25% - 35%,None,> 7 Years,Savings Agreement/Life Insurance,53.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.10915463137114234,0.8908453686288577
Male,No Account,36.0,Existing Paid,Radio/Television,3595.0,< 100 EU,>= 7 Years,> 35%,None,1 - 4 Years,Car or Other,28.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.32298795935326585,0.6770120406467341
Male,No Account,18.0,Critical Account,Radio/Television,629.0,500 <= ... < 1000 EU,>= 7 Years,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,32.0,Bank,Own,2 or 3,Highly Qualified,< 3,Registered,Yes,Single,Good,Good,0.08130946820263574,0.9186905317973643
Male,0 <= ... < 200 EU,6.0,Delay Paid,Furniture/Equipment,1050.0,< 100 EU,Unemployed,> 35%,None,< 1 Year,Savings Agreement/Life Insurance,35.0,Stores,Own,2 or 3,Highly Qualified,< 3,Registered,No,Single,Good,Good,0.041946614400265814,0.9580533855997342
Female,No Account,12.0,Critical Account,Radio/Television,1240.0,Unknown,>= 7 Years,> 35%,None,1 - 4 Years,Real Estate,38.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.02979224445512496,0.970207755544875
Male,No Account,36.0,Existing Paid,Business,7409.0,Unknown,>= 7 Years,25% - 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,37.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Single,Good,Good,0.3502214617147117,0.6497785382852883
Male,No Account,9.0,Existing Paid,Radio/Television,2753.0,100 <= ... < 500 EU,>= 7 Years,25% - 35%,Co-Applicant,> 7 Years,Car or Other,35.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.09498291662862723,0.9050170833713728
Female,No Account,15.0,Existing Paid,Furniture/Equipment,2221.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,20% - 25%,None,> 7 Years,Car or Other,20.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.13347419476139244,0.8665258052386076
Male,No Account,9.0,Existing Paid,Radio/Television,2697.0,< 100 EU,1 <= ... < 4 Years,< 20%,None,1 - 4 Years,Real Estate,32.0,None,Own,1,Skilled Official,>= 3,None,Yes,Single,Good,Good,0.08818721367967297,0.911812786320327
Male,No Account,36.0,Critical Account,Car(New),3535.0,< 100 EU,4 <= ... < 7 Years,> 35%,None,> 7 Years,Car or Other,37.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.0895259476649426,0.9104740523350574
Female,No Account,12.0,Critical Account,Car(New),926.0,< 100 EU,Unemployed,< 20%,None,1 - 4 Years,Savings Agreement/Life Insurance,38.0,None,Own,1,Unemployed Non-resident,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.07232484776124537,0.9276751522387546
Female,< 0 EU,24.0,Existing Paid,Car(New),1442.0,< 100 EU,4 <= ... < 7 Years,> 35%,None,> 7 Years,Car or Other,23.0,None,Rent,2 or 3,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.8542242858027199,0.1457757141972801
Female,0 <= ... < 200 EU,30.0,Existing Paid,Furniture/Equipment,3441.0,100 <= ... < 500 EU,1 <= ... < 4 Years,20% - 25%,Co-Applicant,> 7 Years,Car or Other,21.0,Bank,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.7071770883834313,0.2928229116165687
Female,No Account,12.0,Critical Account,Education,2748.0,< 100 EU,>= 7 Years,20% - 25%,None,> 7 Years,Unknown,57.0,Bank,For Free,4 or 5,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.19568619715484759,0.8043138028451524
Male,>= 200 EU,36.0,Existing Paid,Radio/Television,4473.0,< 100 EU,>= 7 Years,> 35%,None,1 - 4 Years,Car or Other,31.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Bad,0.54590000979924,0.45409999020076
Female,< 0 EU,24.0,Existing Paid,Car(New),3123.0,< 100 EU,< 1 Year,> 35%,None,< 1 Year,Savings Agreement/Life Insurance,27.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.7458600291587183,0.2541399708412817
