Account.Balance,Sex,Payment.Status.of.Previous.Credit,Purpose,Value.Savings.Stocks,Length.of.current.employment,Instalment.per.cent,Guarantors,Duration.in.Current.address,Most.valuable.available.asset,Concurrent.Credits,Type.of.apartment,No.of.Credits.at.this.Bank,Occupation,No.of.dependents,Marital.Status,Duration.of.Credit..month.,Credit.Amount,Age..years.,Telephone,Foreign.Worker,Creditability,ID,Random Forest,Random Forest (Bad),Random Forest (Good)
< 0 EU,Male,Critical Account,Business,< 100 EU,< 1 Year,25% - 35%,None,< 1 Year,Savings Agreement/Life Insurance,Bank,Own,2 or 3,Unskilled Resident,< 3,Single,13.0,1797.0,28.0,None,Yes,Good,856.0,Good,0.2742857142857143,0.7257142857142856
< 0 EU,Male,Existing Paid,Car(Used),< 100 EU,4 <= ... < 7 Years,20% - 25%,None,< 1 Year,Unknown,None,For Free,1,Highly Qualified,< 3,Single,24.0,2910.0,34.0,Registered,Yes,Good,905.0,Good,0.11416666666666667,0.8858333333333335
>= 200 EU,Male,Existing Paid,Radio/Television,< 100 EU,1 <= ... < 4 Years,> 35%,None,< 1 Year,Car or Other,None,Own,1,Skilled Official,< 3,Single,36.0,5848.0,24.0,None,Yes,Good,205.0,Good,0.2845238095238095,0.7154761904761905
0 <= ... < 200 EU,Male,Critical Account,Radio/Television,< 100 EU,>= 7 Years,20% - 25%,None,> 7 Years,Real Estate,None,Own,4 or 5,Unskilled Resident,< 3,Single,9.0,1154.0,37.0,None,Yes,Good,901.0,Good,0.03333333333333333,0.9666666666666668
No Account,Male,Existing Paid,Car(Used),Unknown,1 <= ... < 4 Years,< 20%,None,4 - 7 Years,Car or Other,None,Own,1,Skilled Official,< 3,Single,21.0,5248.0,26.0,None,Yes,Good,306.0,Good,0.1,0.9
< 0 EU,Male,All Paid,Car(New),< 100 EU,4 <= ... < 7 Years,> 35%,None,> 7 Years,Unknown,Bank,For Free,2 or 3,Unskilled Resident,>= 3,Single,18.0,1442.0,32.0,None,Yes,Bad,583.0,Bad,0.9364285714285714,0.06357142857142857
< 0 EU,Male,Existing Paid,Education,Unknown,>= 7 Years,> 35%,None,> 7 Years,Unknown,None,Own,1,Highly Qualified,< 3,Single,36.0,1977.0,40.0,Registered,Yes,Bad,248.0,Bad,0.7033333333333334,0.2966666666666667
< 0 EU,Male,Existing Paid,Furniture/Equipment,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Real Estate,None,Own,1,Skilled Official,< 3,Single,12.0,1657.0,27.0,None,Yes,Good,271.0,Good,0.09583333333333333,0.9041666666666668
0 <= ... < 200 EU,Male,Critical Account,Education,>= 1000 EU,>= 7 Years,> 35%,None,4 - 7 Years,Unknown,None,For Free,2 or 3,Skilled Official,>= 3,Single,9.0,1136.0,32.0,None,Yes,Bad,227.0,Bad,0.7166666666666667,0.2833333333333333
No Account,Male,Critical Account,Car(New),< 100 EU,1 <= ... < 4 Years,25% - 35%,None,< 1 Year,Real Estate,None,Own,2 or 3,Skilled Official,< 3,Single,9.0,1224.0,30.0,None,Yes,Good,355.0,Good,0.18,0.82
0 <= ... < 200 EU,Female,None Taken,Business,100 <= ... < 500 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Car or Other,None,Rent,2 or 3,Unskilled Resident,< 3,Divorced/Separated/Married,30.0,4280.0,26.0,None,Yes,Bad,503.0,Bad,0.53,0.4699999999999999
No Account,Male,Critical Account,Radio/Television,< 100 EU,>= 7 Years,20% - 25%,None,> 7 Years,Real Estate,None,Own,2 or 3,Unskilled Resident,< 3,Single,12.0,1655.0,63.0,Registered,Yes,Good,915.0,Good,0.05,0.95
< 0 EU,Male,Critical Account,Furniture/Equipment,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,None,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,36.0,2348.0,46.0,Registered,Yes,Good,359.0,Good,0.23166666666666663,0.7683333333333333
< 0 EU,Male,None Taken,Business,< 100 EU,Unemployed,20% - 25%,None,> 7 Years,Savings Agreement/Life Insurance,None,Own,2 or 3,Skilled Official,< 3,Single,27.0,5293.0,50.0,Registered,Yes,Bad,518.0,Bad,0.6249999999999999,0.37499999999999994
< 0 EU,Male,Existing Paid,Radio/Television,< 100 EU,4 <= ... < 7 Years,25% - 35%,None,> 7 Years,Real Estate,None,Own,1,Skilled Official,< 3,Single,9.0,1364.0,59.0,None,Yes,Good,576.0,Good,0.21000000000000002,0.79
No Account,Male,Critical Account,Radio/Television,Unknown,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,None,Own,2 or 3,Skilled Official,< 3,Single,18.0,1169.0,29.0,Registered,Yes,Good,666.0,Good,0.0,1.0
No Account,Male,Existing Paid,Radio/Television,Unknown,1 <= ... < 4 Years,> 35%,None,> 7 Years,Unknown,None,For Free,1,Skilled Official,< 3,Single,12.0,2279.0,37.0,Registered,Yes,Good,235.0,Good,0.06666666666666667,0.9333333333333333
0 <= ... < 200 EU,Female,None Taken,Business,< 100 EU,>= 7 Years,20% - 25%,None,> 7 Years,Unknown,Stores,For Free,2 or 3,Highly Qualified,< 3,Divorced/Separated/Married,27.0,8318.0,42.0,Registered,Yes,Bad,161.0,Bad,0.7583333333333333,0.24166666666666664
No Account,Male,Existing Paid,Radio/Television,Unknown,>= 7 Years,> 35%,None,1 - 4 Years,Car or Other,None,Own,2 or 3,Skilled Official,< 3,Single,24.0,999.0,25.0,None,Yes,Good,871.0,Good,0.02,0.9800000000000001
No Account,Female,Existing Paid,Car(Used),< 100 EU,< 1 Year,> 35%,None,< 1 Year,Unknown,None,Own,1,Highly Qualified,< 3,Divorced/Separated/Married,24.0,2679.0,29.0,Registered,Yes,Good,261.0,Good,0.3166666666666667,0.6833333333333333
>= 200 EU,Female,Existing Paid,Car(New),< 100 EU,>= 7 Years,25% - 35%,None,1 - 4 Years,Car or Other,None,Own,1,Highly Qualified,< 3,Divorced/Separated/Married,18.0,1961.0,23.0,None,Yes,Good,672.0,Good,0.37666666666666665,0.6233333333333333
0 <= ... < 200 EU,Male,None Taken,Business,< 100 EU,< 1 Year,25% - 35%,None,> 7 Years,Unknown,None,Rent,1,Skilled Official,< 3,Single,54.0,15945.0,58.0,Registered,Yes,Bad,928.0,Bad,0.9547619047619047,0.04523809523809523
< 0 EU,Male,Existing Paid,Car(Used),Unknown,>= 7 Years,< 20%,None,> 7 Years,Savings Agreement/Life Insurance,None,For Free,1,Skilled Official,>= 3,Single,18.0,7511.0,51.0,Registered,Yes,Bad,360.0,Bad,0.5226190476190476,0.47738095238095235
0 <= ... < 200 EU,Male,Critical Account,Car(New),Unknown,>= 7 Years,> 35%,None,> 7 Years,Real Estate,None,Own,2 or 3,Skilled Official,< 3,Single,30.0,2181.0,36.0,None,Yes,Good,386.0,Good,0.13333333333333333,0.8666666666666668
0 <= ... < 200 EU,Male,Existing Paid,Car(New),100 <= ... < 500 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,None,Own,2 or 3,Skilled Official,< 3,Single,18.0,5866.0,30.0,Registered,Yes,Good,467.0,Good,0.4182142857142857,0.5817857142857144
No Account,Male,None Taken,Radio/Television,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,None,Own,1,Unskilled Resident,< 3,Divorced/Separated/Married,6.0,426.0,39.0,None,Yes,Good,539.0,Good,0.03333333333333333,0.9666666666666668
No Account,Female,Existing Paid,Radio/Television,< 100 EU,Unemployed,25% - 35%,Co-Applicant,> 7 Years,Real Estate,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,18.0,433.0,22.0,None,Yes,Bad,269.0,Bad,0.7933333333333333,0.20666666666666664
No Account,Male,Existing Paid,Radio/Television,Unknown,>= 7 Years,> 35%,None,1 - 4 Years,Car or Other,None,Own,1,Skilled Official,< 3,Single,15.0,1979.0,35.0,None,Yes,Good,870.0,Good,0.0,1.0
No Account,Female,Critical Account,Education,100 <= ... < 500 EU,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Car or Other,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,15.0,1532.0,31.0,None,Yes,Good,361.0,Good,0.1,0.9
No Account,Male,Existing Paid,Car(Used),Unknown,1 <= ... < 4 Years,20% - 25%,None,< 1 Year,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Single,18.0,3378.0,31.0,Registered,Yes,Good,405.0,Good,0.08333333333333333,0.9166666666666667
No Account,Female,Existing Paid,Radio/Television,100 <= ... < 500 EU,4 <= ... < 7 Years,20% - 25%,None,> 7 Years,Real Estate,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,60.0,10144.0,21.0,Registered,Yes,Good,742.0,Good,0.13333333333333336,0.8666666666666666
No Account,Male,Existing Paid,Furniture/Equipment,>= 1000 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Real Estate,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,6.0,1543.0,33.0,None,Yes,Good,180.0,Good,0.04,0.96
< 0 EU,Male,Delay Paid,Car(New),< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Real Estate,None,Own,2 or 3,Unskilled Resident,>= 3,Single,12.0,1344.0,43.0,None,Yes,Good,417.0,Good,0.05333333333333333,0.9466666666666667
No Account,Female,Existing Paid,Radio/Television,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,< 1 Year,Real Estate,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,6.0,518.0,29.0,None,Yes,Good,807.0,Good,0.02,0.9800000000000001
0 <= ... < 200 EU,Female,Existing Paid,Car(New),< 100 EU,1 <= ... < 4 Years,25% - 35%,None,> 7 Years,Savings Agreement/Life Insurance,None,Rent,1,Unskilled Resident,< 3,Divorced/Separated/Married,24.0,2718.0,20.0,Registered,Yes,Bad,813.0,Bad,0.7242857142857143,0.2757142857142857
0 <= ... < 200 EU,Male,Existing Paid,Radio/Television,100 <= ... < 500 EU,1 <= ... < 4 Years,> 35%,Guarantor,> 7 Years,Savings Agreement/Life Insurance,None,Rent,1,Skilled Official,< 3,Single,45.0,3031.0,21.0,None,Yes,Bad,447.0,Bad,0.8047619047619048,0.1952380952380952
No Account,Male,Critical Account,Car(New),< 100 EU,>= 7 Years,25% - 35%,None,> 7 Years,Real Estate,None,Own,2 or 3,Unskilled Resident,>= 3,Single,10.0,1231.0,32.0,None,No,Good,232.0,Good,0.0,1.0
No Account,Female,Critical Account,Furniture/Equipment,< 100 EU,< 1 Year,< 20%,None,4 - 7 Years,Real Estate,None,Rent,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,10.0,2146.0,23.0,None,Yes,Good,839.0,Good,0.1731818181818182,0.8268181818181818
< 0 EU,Male,Existing Paid,Appliances,< 100 EU,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Real Estate,None,Own,1,Unskilled Resident,< 3,Divorced/Separated/Married,18.0,1217.0,47.0,Registered,Yes,Bad,453.0,Bad,0.73,0.27
No Account,Male,Existing Paid,Furniture/Equipment,< 100 EU,< 1 Year,20% - 25%,None,4 - 7 Years,Savings Agreement/Life Insurance,Bank,Own,2 or 3,Unskilled Resident,< 3,Single,15.0,2708.0,27.0,None,Yes,Good,657.0,Good,0.05333333333333333,0.9466666666666667
No Account,Male,Existing Paid,Radio/Television,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Real Estate,Bank,Own,2 or 3,Skilled Official,< 3,Single,12.0,707.0,30.0,None,Yes,Good,909.0,Good,0.12571428571428572,0.8742857142857143
0 <= ... < 200 EU,Female,Existing Paid,Radio/Television,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Real Estate,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,9.0,1206.0,25.0,None,Yes,Good,465.0,Good,0.0725,0.9275
No Account,Male,Existing Paid,Radio/Television,100 <= ... < 500 EU,4 <= ... < 7 Years,25% - 35%,None,< 1 Year,Unknown,None,Own,1,Skilled Official,< 3,Single,12.0,2141.0,35.0,None,Yes,Good,795.0,Good,0.0375,0.9625
< 0 EU,Male,Existing Paid,Furniture/Equipment,< 100 EU,1 <= ... < 4 Years,> 35%,Guarantor,< 1 Year,Savings Agreement/Life Insurance,None,Own,1,Unskilled Resident,< 3,Single,12.0,1289.0,21.0,None,Yes,Good,560.0,Good,0.04,0.96
0 <= ... < 200 EU,Male,All Paid,Car(New),100 <= ... < 500 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Savings Agreement/Life Insurance,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,15.0,1264.0,25.0,None,Yes,Bad,362.0,Bad,0.8178571428571428,0.18214285714285713
0 <= ... < 200 EU,Female,None Taken,Radio/Television,< 100 EU,1 <= ... < 4 Years,> 35%,None,< 1 Year,Car or Other,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,36.0,3804.0,42.0,Registered,Yes,Bad,683.0,Bad,0.6607142857142858,0.3392857142857143
No Account,Male,Existing Paid,Car(New),Unknown,1 <= ... < 4 Years,20% - 25%,None,> 7 Years,Car or Other,Stores,Rent,2 or 3,Skilled Official,< 3,Single,18.0,6761.0,68.0,None,Yes,Bad,634.0,Bad,0.6783333333333333,0.32166666666666666
0 <= ... < 200 EU,Male,Critical Account,Radio/Television,100 <= ... < 500 EU,< 1 Year,> 35%,None,> 7 Years,Unknown,Bank,Own,2 or 3,Skilled Official,>= 3,Single,24.0,1216.0,38.0,None,Yes,Bad,369.0,Bad,0.6599999999999999,0.33999999999999997
No Account,Female,Delay Paid,Radio/Television,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Real Estate,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,6.0,935.0,24.0,None,Yes,Good,158.0,Good,0.06666666666666667,0.9333333333333332
No Account,Female,Existing Paid,Radio/Television,Unknown,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,12.0,886.0,21.0,None,Yes,Good,615.0,Good,0.0,1.0
0 <= ... < 200 EU,Male,Existing Paid,Radio/Television,>= 1000 EU,4 <= ... < 7 Years,< 20%,Co-Applicant,1 - 4 Years,Unknown,Bank,Own,2 or 3,Skilled Official,< 3,Single,48.0,10961.0,27.0,Registered,Yes,Bad,252.0,Bad,0.9,0.1
No Account,Male,Existing Paid,Car(New),Unknown,1 <= ... < 4 Years,> 35%,None,> 7 Years,Real Estate,None,Own,1,Skilled Official,< 3,Single,36.0,3079.0,36.0,None,Yes,Good,477.0,Good,0.1,0.9
No Account,Female,Existing Paid,Radio/Television,Unknown,< 1 Year,> 35%,None,1 - 4 Years,Real Estate,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,18.0,1126.0,21.0,Registered,Yes,Good,803.0,Good,0.1,0.9
>= 200 EU,Female,Existing Paid,Radio/Television,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,None,Rent,1,Unskilled Resident,< 3,Divorced/Separated/Married,12.0,1881.0,44.0,Registered,Yes,Good,688.0,Good,0.12666666666666665,0.8733333333333334
< 0 EU,Female,Existing Paid,Car(New),< 100 EU,1 <= ... < 4 Years,> 35%,Guarantor,> 7 Years,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,12.0,1893.0,29.0,Registered,Yes,Good,791.0,Good,0.06190476190476191,0.9380952380952381
< 0 EU,Male,Existing Paid,Radio/Television,< 100 EU,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Real Estate,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,18.0,1345.0,26.0,None,Yes,Bad,153.0,Bad,0.678888888888889,0.3211111111111111
< 0 EU,Male,None Taken,Business,Unknown,< 1 Year,20% - 25%,None,4 - 7 Years,Car or Other,Bank,Own,4 or 5,Skilled Official,< 3,Single,30.0,8072.0,25.0,None,Yes,Good,889.0,Good,0.4066666666666666,0.5933333333333333
< 0 EU,Male,Existing Paid,Other,< 100 EU,Unemployed,20% - 25%,Co-Applicant,4 - 7 Years,Car or Other,None,Own,1,Highly Qualified,< 3,Divorced/Separated/Married,36.0,15857.0,43.0,None,Yes,Good,927.0,Good,0.46904761904761905,0.530952380952381
No Account,Male,Existing Paid,Car(New),Unknown,1 <= ... < 4 Years,> 35%,None,> 7 Years,Unknown,None,For Free,1,Skilled Official,>= 3,Single,60.0,6527.0,34.0,Registered,Yes,Good,670.0,Good,0.19,0.8099999999999999
No Account,Female,Delay Paid,Furniture/Equipment,< 100 EU,4 <= ... < 7 Years,> 35%,None,< 1 Year,Real Estate,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,18.0,1808.0,22.0,None,Yes,Bad,740.0,Good,0.3467532467532467,0.6532467532467533
No Account,Female,Critical Account,Radio/Television,Unknown,>= 7 Years,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,None,Own,1,Unskilled Resident,>= 3,Divorced/Separated/Married,12.0,797.0,33.0,None,Yes,Bad,949.0,Good,0.40444444444444444,0.5955555555555556
No Account,Male,None Taken,Car(Used),Unknown,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Savings Agreement/Life Insurance,None,Own,1,Unskilled Resident,>= 3,Single,54.0,9436.0,39.0,None,Yes,Good,895.0,Bad,0.52,0.48
No Account,Male,Existing Paid,Business,< 100 EU,4 <= ... < 7 Years,< 20%,None,> 7 Years,Real Estate,None,Own,1,Unskilled Resident,< 3,Single,5.0,3448.0,74.0,None,Yes,Good,664.0,Good,0.05,0.95
< 0 EU,Female,All Paid,Car(Used),< 100 EU,1 <= ... < 4 Years,< 20%,Guarantor,> 7 Years,Car or Other,Bank,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,24.0,3632.0,22.0,None,No,Good,821.0,Good,0.21428571428571427,0.7857142857142856
< 0 EU,Female,Existing Paid,Furniture/Equipment,< 100 EU,4 <= ... < 7 Years,< 20%,None,> 7 Years,Car or Other,None,Rent,1,Unskilled Resident,< 3,Divorced/Separated/Married,21.0,3599.0,26.0,None,Yes,Good,415.0,Good,0.28500000000000003,0.7150000000000001
No Account,Male,All Paid,Car(New),Unknown,1 <= ... < 4 Years,< 20%,Guarantor,1 - 4 Years,Real Estate,Stores,Own,1,Unskilled Resident,>= 3,Single,6.0,783.0,26.0,None,Yes,Good,766.0,Good,0.16999999999999998,0.8300000000000001
No Account,Male,Existing Paid,Car(Used),100 <= ... < 500 EU,>= 7 Years,> 35%,None,1 - 4 Years,Car or Other,None,Own,1,Highly Qualified,< 3,Single,39.0,8588.0,45.0,Registered,Yes,Good,480.0,Good,0.0,1.0
0 <= ... < 200 EU,Male,Existing Paid,Business,100 <= ... < 500 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Car or Other,None,Own,1,Skilled Official,< 3,Single,18.0,2622.0,34.0,None,Yes,Good,493.0,Good,0.2,0.8
0 <= ... < 200 EU,Male,Existing Paid,Business,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,None,Own,1,Skilled Official,>= 3,Single,27.0,3915.0,36.0,Registered,Yes,Bad,545.0,Bad,0.7245238095238096,0.27547619047619043
0 <= ... < 200 EU,Male,Critical Account,Car(New),< 100 EU,Unemployed,> 35%,None,1 - 4 Years,Car or Other,None,Own,2 or 3,Highly Qualified,< 3,Divorced/Separated/Married,30.0,5234.0,28.0,None,Yes,Bad,230.0,Bad,0.8316666666666667,0.16833333333333333
< 0 EU,Male,Critical Account,Car(Used),100 <= ... < 500 EU,4 <= ... < 7 Years,< 20%,None,> 7 Years,Car or Other,None,Rent,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,30.0,6187.0,24.0,None,Yes,Good,299.0,Good,0.4892857142857143,0.5107142857142858
No Account,Male,Existing Paid,Furniture/Equipment,Unknown,4 <= ... < 7 Years,> 35%,None,1 - 4 Years,Car or Other,Stores,Own,1,Skilled Official,< 3,Single,24.0,929.0,31.0,Registered,Yes,Good,501.0,Good,0.02,0.9800000000000001
< 0 EU,Male,Existing Paid,Car(Used),< 100 EU,>= 7 Years,25% - 35%,None,> 7 Years,Unknown,None,For Free,1,Skilled Official,< 3,Single,12.0,3386.0,35.0,Registered,Yes,Bad,533.0,Bad,0.595952380952381,0.40404761904761904
0 <= ... < 200 EU,Male,Existing Paid,Radio/Television,< 100 EU,< 1 Year,20% - 25%,None,< 1 Year,Car or Other,None,Own,1,Skilled Official,< 3,Single,12.0,1331.0,22.0,None,Yes,Bad,591.0,Bad,0.5416666666666666,0.4583333333333333
0 <= ... < 200 EU,Male,Delay Paid,Business,100 <= ... < 500 EU,>= 7 Years,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,Stores,Own,2 or 3,Skilled Official,< 3,Single,30.0,2503.0,41.0,None,Yes,Good,460.0,Good,0.1,0.9
< 0 EU,Female,Existing Paid,Furniture/Equipment,< 100 EU,1 <= ... < 4 Years,20% - 25%,Co-Applicant,4 - 7 Years,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,12.0,1620.0,30.0,None,Yes,Good,858.0,Good,0.215,0.7849999999999999
No Account,Male,Delay Paid,Business,500 <= ... < 1000 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,None,Own,2 or 3,Skilled Official,>= 3,Single,24.0,2375.0,44.0,Registered,Yes,Good,284.0,Good,0.0,1.0
No Account,Male,Critical Account,Car(Used),Unknown,Unemployed,20% - 25%,None,> 7 Years,Unknown,None,Own,1,Highly Qualified,< 3,Single,18.0,3229.0,38.0,Registered,Yes,Good,532.0,Good,0.13333333333333333,0.8666666666666668
No Account,Female,Critical Account,Car(New),100 <= ... < 500 EU,4 <= ... < 7 Years,> 35%,None,4 - 7 Years,Car or Other,None,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,12.0,682.0,51.0,Registered,Yes,Good,364.0,Good,0.07678571428571428,0.9232142857142858
No Account,Male,Critical Account,Education,< 100 EU,1 <= ... < 4 Years,< 20%,None,4 - 7 Years,Unknown,Bank,For Free,1,Skilled Official,< 3,Single,48.0,6110.0,31.0,Registered,Yes,Good,810.0,Good,0.16999999999999998,0.8300000000000001
0 <= ... < 200 EU,Male,Existing Paid,Car(New),< 100 EU,4 <= ... < 7 Years,20% - 25%,None,1 - 4 Years,Car or Other,None,Own,1,Skilled Official,< 3,Single,12.0,6078.0,32.0,None,Yes,Good,206.0,Good,0.39,0.61
0 <= ... < 200 EU,Male,Critical Account,Car(New),500 <= ... < 1000 EU,4 <= ... < 7 Years,25% - 35%,None,4 - 7 Years,Car or Other,None,Own,1,Highly Qualified,< 3,Divorced/Separated/Married,12.0,2366.0,36.0,Registered,Yes,Good,887.0,Good,0.13333333333333333,0.8666666666666666
0 <= ... < 200 EU,Male,Existing Paid,Car(Used),< 100 EU,< 1 Year,< 20%,None,> 7 Years,Car or Other,None,Rent,1,Highly Qualified,< 3,Divorced/Separated/Married,36.0,9398.0,28.0,Registered,Yes,Bad,771.0,Bad,0.7016666666666665,0.29833333333333334
No Account,Male,Critical Account,Furniture/Equipment,500 <= ... < 1000 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Real Estate,None,Own,2 or 3,Skilled Official,< 3,Single,42.0,4041.0,36.0,Registered,Yes,Good,733.0,Good,0.08,0.9199999999999999
< 0 EU,Male,Existing Paid,Furniture/Equipment,< 100 EU,>= 7 Years,20% - 25%,None,1 - 4 Years,Savings Agreement/Life Insurance,Bank,Own,1,Skilled Official,>= 3,Single,36.0,2712.0,41.0,None,Yes,Bad,824.0,Bad,0.5391666666666666,0.46083333333333326
No Account,Male,Existing Paid,Furniture/Equipment,500 <= ... < 1000 EU,>= 7 Years,25% - 35%,None,> 7 Years,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Single,24.0,2835.0,53.0,None,Yes,Good,678.0,Good,0.0,1.0
No Account,Male,Existing Paid,Radio/Television,< 100 EU,>= 7 Years,> 35%,None,1 - 4 Years,Car or Other,None,Own,1,Skilled Official,< 3,Single,36.0,3595.0,28.0,None,Yes,Good,347.0,Good,0.02857142857142857,0.9714285714285715
No Account,Male,Critical Account,Radio/Television,500 <= ... < 1000 EU,>= 7 Years,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,Bank,Own,2 or 3,Highly Qualified,< 3,Single,18.0,629.0,32.0,Registered,Yes,Good,864.0,Good,0.06999999999999999,0.93
0 <= ... < 200 EU,Male,Delay Paid,Furniture/Equipment,< 100 EU,Unemployed,> 35%,None,< 1 Year,Savings Agreement/Life Insurance,Stores,Own,2 or 3,Highly Qualified,< 3,Single,6.0,1050.0,35.0,Registered,No,Good,840.0,Good,0.2876190476190476,0.7123809523809523
No Account,Female,Critical Account,Radio/Television,Unknown,>= 7 Years,> 35%,None,1 - 4 Years,Real Estate,None,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,12.0,1240.0,38.0,Registered,Yes,Good,211.0,Good,0.14333333333333334,0.8566666666666667
No Account,Male,Existing Paid,Business,Unknown,>= 7 Years,25% - 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,None,Own,2 or 3,Skilled Official,< 3,Single,36.0,7409.0,37.0,None,Yes,Good,727.0,Good,0.13999999999999999,0.86
No Account,Male,Existing Paid,Radio/Television,100 <= ... < 500 EU,>= 7 Years,25% - 35%,Co-Applicant,> 7 Years,Car or Other,None,Own,1,Skilled Official,< 3,Single,9.0,2753.0,35.0,Registered,Yes,Good,782.0,Good,0.1,0.9
No Account,Female,Existing Paid,Furniture/Equipment,500 <= ... < 1000 EU,1 <= ... < 4 Years,20% - 25%,None,> 7 Years,Car or Other,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,15.0,2221.0,20.0,None,Yes,Good,582.0,Good,0.17833333333333332,0.8216666666666667
No Account,Male,Existing Paid,Radio/Television,< 100 EU,1 <= ... < 4 Years,< 20%,None,1 - 4 Years,Real Estate,None,Own,1,Skilled Official,>= 3,Single,9.0,2697.0,32.0,None,Yes,Good,754.0,Good,0.0,1.0
No Account,Male,Critical Account,Car(New),< 100 EU,4 <= ... < 7 Years,> 35%,None,> 7 Years,Car or Other,None,Own,2 or 3,Skilled Official,< 3,Single,36.0,3535.0,37.0,Registered,Yes,Good,593.0,Good,0.0,1.0
No Account,Female,Critical Account,Car(New),< 100 EU,Unemployed,< 20%,None,1 - 4 Years,Savings Agreement/Life Insurance,None,Own,1,Unemployed Non-resident,< 3,Divorced/Separated/Married,12.0,926.0,38.0,None,Yes,Good,587.0,Good,0.061111111111111116,0.9388888888888889
< 0 EU,Female,Existing Paid,Car(New),< 100 EU,4 <= ... < 7 Years,> 35%,None,> 7 Years,Car or Other,None,Rent,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,24.0,1442.0,23.0,None,Yes,Bad,398.0,Bad,0.95,0.05
0 <= ... < 200 EU,Female,Existing Paid,Furniture/Equipment,100 <= ... < 500 EU,1 <= ... < 4 Years,20% - 25%,Co-Applicant,> 7 Years,Car or Other,Bank,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,30.0,3441.0,21.0,None,Yes,Bad,737.0,Bad,0.6799999999999999,0.32
No Account,Female,Critical Account,Education,< 100 EU,>= 7 Years,20% - 25%,None,> 7 Years,Unknown,Bank,For Free,4 or 5,Unskilled Resident,< 3,Divorced/Separated/Married,12.0,2748.0,57.0,None,Yes,Good,720.0,Good,0.15,0.85
>= 200 EU,Male,Existing Paid,Radio/Television,< 100 EU,>= 7 Years,> 35%,None,1 - 4 Years,Car or Other,None,Own,1,Skilled Official,< 3,Single,36.0,4473.0,31.0,None,Yes,Good,241.0,Good,0.28119047619047616,0.7188095238095238
